['Team B', 'one', 11, 0]
['Team B', 'four', 15, 0]
['Team B', 'two', 17, 0]
['Team B', 'dot', 17, 0]
['Team B', 'four', 21, 0]
['Team B', 'dot', 21, 0]
['Team B', 'one', 22, 0]
['Team B', 'one', 23, 0]
['Team B', 'one', 24, 0]
['Team B', 'six', 30, 0]
['Team B', 'wicket', 31, 1]
['Team B', 'extra run', 32, 1]
['Team B', 'four', 36, 1]
['Team B', 'four', 40, 1]
['Team B', 'dot', 40, 1]
['Team B', 'one', 41, 1]
['Team B', 'two', 43, 1]
['Team B', 'two', 45, 1]
['Team B', 'dot', 45, 1]
['Team B', 'one', 46, 1]
['Team B', 'one', 47, 1]
['Team B', 'four', 51, 1]
['Team B', 'four', 55, 1]
['Team B', 'four', 59, 1]
