['Team B', 'dot', 0, 0]
['Team B', 'dot', 0, 0]
['Team B', 'dot', 0, 0]
['Team B', 'dot', 0, 0]
['Team B', 'dot', 0, 0]
['Team B', 'dot', 0, 0]
['Team B', 'dot', 0, 0]
['Team B', 'dot', 0, 0]
['Team B', 'two', 2, 0]
['Team B', 'one', 3, 0]
['Team B', 'six', 9, 0]
['Team B', 'one', 10, 0]
['Team B', 'one', 11, 0]
['Team B', 'one', 12, 0]
['Team B', 'extra run', 13, 0]
['Team B', 'extra run', 14, 0]
['Team B', 'dot', 14, 0]
['Team B', 'four', 18, 0]
['Team B', 'one', 19, 0]
['Team B', 'wicket', 20, 1]
['Team B', 'six', 26, 1]
['Team B', 'four', 30, 1]
['Team B', 'one', 31, 1]
['Team B', 'one', 32, 1]
['Team B', 'dot', 32, 1]
['Team B', 'one', 33, 1]
['Team B', 'one', 34, 1]
['Team B', 'two', 36, 1]
['Team B', 'one', 37, 1]
['Team B', 'one', 38, 1]
['Team B', 'dot', 38, 1]
['Team B', 'extra run', 39, 1]
['Team B', 'four', 43, 1]
['Team B', 'two', 45, 1]
['Team B', 'six', 51, 1]
['Team B', 'four', 55, 1]
['Team B', 'one', 56, 1]
['Team B', 'extra run', 57, 1]
['Team B', 'two', 59, 1]
['Team B', 'one', 60, 1]
['Team B', 'one', 61, 1]
['Team B', 'dot', 61, 1]
['Team B', 'one', 62, 1]
['Team B', 'dot', 62, 1]
['Team B', 'extra run', 63, 1]
['Team B', 'dot', 63, 1]
['Team B', 'six', 69, 1]
['Team B', 'four', 73, 1]
['Team B', 'one', 74, 1]
['Team B', 'one', 75, 1]
['Team B', 'six', 81, 1]
['Team B', 'dot', 81, 1]
['Team B', 'one', 82, 1]
['Team B', 'four', 86, 1]
['Team B', 'two', 88, 1]
['Team B', 'dot', 88, 1]
['Team B', 'dot', 88, 1]
['Team B', 'one', 89, 1]
['Team B', 'one', 90, 1]
['Team B', 'one', 91, 1]
['Team A', 'dot', 0, 0]
['Team A', 'dot', 0, 0]
['Team A', 'dot', 0, 0]
['Team A', 'two', 2, 0]
['Team A', 'one', 3, 0]
['Team A', 'dot', 3, 0]
['Team A', 'one', 4, 0]
['Team A', 'dot', 4, 0]
['Team A', 'dot', 4, 0]
['Team A', 'dot', 4, 0]
['Team A', 'dot', 4, 0]
['Team A', 'extra run', 5, 0]
['Team A', 'dot', 5, 0]
['Team A', 'six', 11, 0]
['Team A', 'one', 12, 0]
['Team A', 'two', 14, 0]
['Team A', 'one', 15, 0]
['Team A', 'two', 17, 0]
['Team A', 'one', 18, 0]
['Team A', 'dot', 18, 0]
['Team A', 'one', 19, 0]
['Team A', 'two', 21, 0]
['Team A', 'dot', 21, 0]
['Team A', 'one', 22, 0]
['Team A', 'dot', 22, 0]
['Team A', 'dot', 22, 0]
['Team A', 'one', 23, 0]
['Team A', 'one', 24, 0]
['Team A', 'one', 25, 0]
['Team A', 'four', 29, 0]
['Team A', 'one', 30, 0]
['Team A', 'one', 31, 0]
['Team A', 'one', 32, 0]
['Team A', 'dot', 32, 0]
['Team A', 'one', 33, 0]
['Team A', 'dot', 33, 0]
['Team A', 'four', 37, 0]
['Team A', 'dot', 37, 0]
['Team A', 'dot', 37, 0]
['Team A', 'two', 39, 0]
['Team A', 'dot', 39, 0]
['Team A', 'six', 45, 0]
['Team A', 'extra run', 46, 0]
['Team A', 'one', 47, 0]
['Team A', 'one', 48, 0]
['Team A', 'dot', 48, 0]
['Team A', 'one', 49, 0]
['Team A', 'four', 53, 0]
['Team A', 'two', 55, 0]
['Team A', 'dot', 55, 0]
['Team A', 'dot', 55, 0]
['Team A', 'one', 56, 0]
['Team A', 'six', 62, 0]
['Team A', 'dot', 62, 0]
['Team A', 'dot', 62, 0]
['Team A', 'extra run', 63, 0]
['Team A', 'dot', 63, 0]
['Team A', 'one', 64, 0]
['Team A', 'four', 68, 0]
['Team A', 'dot', 68, 0]
['Team B', 'one', 1, 0]
['Team B', 'dot', 1, 0]
['Team B', 'four', 5, 0]
['Team B', 'dot', 5, 0]
['Team B', 'two', 7, 0]
['Team B', 'wicket', 8, 1]
['Team B', 'one', 9, 1]
['Team B', 'one', 10, 1]
['Team B', 'six', 16, 1]
['Team B', 'dot', 16, 1]
['Team B', 'one', 17, 1]
['Team B', 'one', 18, 1]
['Team B', 'dot', 18, 1]
['Team B', 'four', 22, 1]
['Team B', 'dot', 22, 1]
['Team B', 'four', 26, 1]
['Team B', 'dot', 26, 1]
['Team B', 'one', 27, 1]
['Team B', 'dot', 27, 1]
['Team B', 'dot', 27, 1]
['Team B', 'one', 28, 1]
['Team B', 'dot', 28, 1]
['Team B', 'one', 29, 1]
['Team B', 'dot', 29, 1]
['Team B', 'six', 35, 1]
['Team B', 'two', 37, 1]
['Team B', 'four', 41, 1]
['Team B', 'one', 42, 1]
['Team B', 'four', 46, 1]
['Team B', 'dot', 46, 1]
['Team B', 'one', 47, 1]
['Team B', 'one', 48, 1]
['Team B', 'one', 49, 1]
['Team B', 'dot', 49, 1]
['Team B', 'two', 51, 1]
['Team B', 'four', 55, 1]
['Team B', 'one', 56, 1]
['Team B', 'four', 60, 1]
['Team B', 'one', 61, 1]
['Team B', 'dot', 61, 1]
['Team B', 'four', 65, 1]
['Team B', 'dot', 65, 1]
['Team B', 'dot', 65, 1]
['Team B', 'wicket', 65, 2]
['Team B', 'one', 66, 2]
['Team B', 'dot', 66, 2]
['Team B', 'one', 67, 2]
['Team B', 'four', 71, 2]
['Team B', 'extra run', 72, 2]
['Team B', 'one', 73, 2]
['Team B', 'four', 77, 2]
['Team B', 'one', 78, 2]
['Team B', 'one', 79, 2]
['Team B', 'one', 80, 2]
['Team B', 'dot', 80, 2]
['Team B', 'dot', 80, 2]
['Team B', 'two', 82, 2]
['Team B', 'dot', 82, 2]
['Team B', 'dot', 82, 2]
['Team B', 'one', 83, 2]
['Team A', 'one', 1, 0]
['Team A', 'one', 2, 0]
['Team A', 'four', 6, 0]
['Team A', 'dot', 6, 0]
['Team A', 'one', 7, 0]
['Team A', 'one', 8, 0]
['Team A', 'extra run', 9, 0]
['Team A', 'dot', 9, 0]
['Team A', 'one', 10, 0]
['Team A', 'one', 11, 0]
['Team A', 'four', 15, 0]
['Team A', 'four', 19, 0]
['Team A', 'four', 23, 0]
['Team A', 'dot', 23, 0]
['Team A', 'one', 24, 0]
['Team A', 'extra run', 25, 0]
['Team A', 'dot', 25, 0]
['Team A', 'one', 26, 0]
['Team A', 'extra run', 27, 0]
['Team A', 'two', 29, 0]
['Team A', 'six', 35, 0]
['Team A', 'six', 41, 0]
['Team A', 'dot', 41, 0]
['Team A', 'wicket', 42, 1]
['Team A', 'one', 43, 1]
['Team A', 'one', 44, 1]
['Team A', 'four', 48, 1]
['Team A', 'extra run', 49, 1]
['Team A', 'dot', 49, 1]
['Team A', 'four', 53, 1]
['Team A', 'wicket', 54, 2]
['Team A', 'wicket', 55, 3]
['Team A', 'one', 56, 3]
['Team A', 'dot', 56, 3]
['Team A', 'one', 57, 3]
['Team A', 'one', 58, 3]
['Team A', 'one', 59, 3]
['Team A', 'dot', 59, 3]
['Team A', 'dot', 59, 3]
['Team A', 'extra run', 64, 3]
['Team A', 'two', 66, 3]
['Team A', 'dot', 66, 3]
['Team A', 'one', 67, 3]
['Team A', 'dot', 67, 3]
['Team A', 'one', 68, 3]
['Team A', 'dot', 68, 3]
['Team A', 'dot', 68, 3]
['Team A', 'four', 72, 3]
['Team A', 'one', 73, 3]
['Team A', 'two', 75, 3]
['Team A', 'dot', 75, 3]
['Team A', 'six', 81, 3]
['Team A', 'one', 82, 3]
['Team A', 'one', 83, 3]
['Team A', 'dot', 83, 3]
['Team A', 'dot', 83, 3]
['Team A', 'one', 84, 3]
['Team A', 'two', 86, 3]
['Team A', 'dot', 86, 3]
['Team A', 'dot', 86, 3]
