0,batting_team,runs_scored,wickets_lost,
1,Team B,extra run,1,0.0
2,Team B,six,7,0.0
3,Team B,one,8,0.0
4,Team B,two,10,0.0
5,Team B,dot,10,0.0
6,Team B,six,16,0.0
7,Team B,one,17,0.0
8,Team B,dot,17,0.0
9,Team B,one,18,0.0
10,Team B,one,19,0.0
11,Team B,six,25,0.0
12,Team B,dot,25,0.0
13,Team B,dot,25,0.0
14,Team B,dot,25,0.0
15,Team B,dot,25,0.0
16,Team B,one,26,0.0
17,Team B,one,27,0.0
18,Team B,four,31,0.0
19,Team B,wicket,32,1.0
20,Team B,dot,32,1.0
21,Team B,one,33,1.0
22,Team B,extra run,34,1.0
23,Team B,wicket,35,2.0
24,Team B,four,39,2.0
25,Team B,one,40,2.0
26,Team B,dot,40,2.0
27,Team B,dot,40,2.0
28,Team B,one,41,2.0
29,Team B,dot,41,2.0
30,Team B,dot,41,2.0
31,Team B,one,42,2.0
32,Team B,four,46,2.0
33,Team B,extra run,47,2.0
34,Team B,four,51,2.0
35,Team B,two,53,2.0
36,Team B,two,55,2.0
37,Team B,four,59,2.0
38,Team B,one,60,2.0
39,Team B,dot,60,2.0
40,Team B,wicket,61,3.0
41,Team B,two,63,3.0
42,Team B,one,64,3.0
43,Team B,wicket,65,4.0
44,Team B,one,66,4.0
45,Team B,wicket,67,5.0
46,Team B,four,71,5.0
47,Team B,one,72,5.0
48,Team B,dot,72,5.0
49,Team B,four,76,5.0
50,Team B,two,78,5.0
51,Team B,one,79,5.0
52,Team B,dot,79,5.0
53,Team B,four,83,5.0
54,Team B,wicket,84,6.0
55,Team B,one,85,6.0
56,Team B,one,86,6.0
57,Team B,one,87,6.0
58,Team B,wicket,87,7.0
59,Team B,dot,87,7.0
60,Team B,extra run,88,7.0
61,Team A,two,2,0.0
62,Team A,dot,2,0.0
63,Team A,one,3,0.0
64,Team A,one,4,0.0
65,Team A,six,10,0.0
66,Team A,extra run,11,0.0
67,Team A,two,13,0.0
68,Team A,extra run,14,0.0
69,Team A,dot,14,0.0
70,Team A,four,18,0.0
71,Team A,one,19,0.0
72,Team A,four,23,0.0
73,Team A,six,29,0.0
74,Team A,two,31,0.0
75,Team A,three,34,0.0
