['Team B', 'four', 30, 0]
['Team B', 'four', 34, 0]
['Team B', 'one', 35, 0]
['Team B', 'extra run', 39, 0]
['Team B', 'dot', 39, 0]
['Team B', 'one', 40, 0]
['Team B', 'dot', 40, 0]
['Team B', 'one', 41, 0]
['Team B', 'one', 42, 0]
['Team B', 'four', 46, 0]
['Team B', 'one', 47, 0]
['Team B', 'dot', 47, 0]
['Team B', 'four', 51, 0]
['Team B', 'one', 52, 0]
['Team B', 'one', 53, 0]
['Team B', 'two', 55, 0]
['Team B', 'dot', 55, 0]
['Team B', 'dot', 55, 0]
['Team B', 'dot', 55, 0]
['Team B', 'dot', 55, 0]
['Team B', 'dot', 55, 0]
['Team B', 'dot', 55, 0]
['Team B', 'dot', 55, 0]
['Team B', 'one', 56, 0]
