['Team B', 'one', 1, 0]
['Team B', 'four', 5, 0]
['Team B', 'one', 6, 0]
['Team B', 'one', 7, 0]
['Team B', 'wicket', 7, 1]
['Team B', 'four', 11, 1]
['Team B', 'one', 12, 1]
['Team B', 'dot', 12, 1]
['Team B', 'six', 18, 1]
['Team B', 'dot', 18, 1]
['Team B', 'dot', 18, 1]
['Team B', 'one', 19, 1]
['Team B', 'dot', 19, 1]
['Team B', 'one', 20, 1]
['Team B', 'one', 21, 1]
['Team B', 'four', 25, 1]
['Team B', 'one', 26, 1]
['Team B', 'dot', 26, 1]
['Team B', 'one', 27, 1]
['Team B', 'one', 28, 1]
['Team B', 'one', 29, 1]
['Team B', 'one', 30, 1]
['Team B', 'one', 31, 1]
['Team B', 'one', 32, 1]
['Team B', 'one', 33, 1]
['Team B', 'one', 34, 1]
['Team B', 'two', 36, 1]
['Team B', 'dot', 36, 1]
['Team B', 'one', 37, 1]
['Team B', 'one', 38, 1]
['Team B', 'one', 39, 1]
['Team B', 'one', 40, 1]
['Team B', 'one', 41, 1]
['Team B', 'dot', 41, 1]
['Team B', 'two', 43, 1]
['Team B', 'wicket', 44, 2]
['Team B', 'six', 50, 2]
['Team B', 'extra run', 51, 2]
['Team B', 'dot', 51, 2]
['Team B', 'four', 55, 2]
['Team B', 'one', 56, 2]
['Team B', 'dot', 56, 2]
['Team B', 'four', 60, 2]
['Team B', 'dot', 60, 2]
['Team B', 'one', 61, 2]
['Team B', 'two', 63, 2]
['Team B', 'one', 64, 2]
['Team B', 'one', 65, 2]
['Team B', 'dot', 65, 2]
['Team B', 'one', 66, 2]
['Team B', 'one', 67, 2]
['Team B', 'one', 68, 2]
['Team B', 'four', 72, 2]
['Team B', 'four', 76, 2]
['Team B', 'dot', 76, 2]
['Team B', 'one', 77, 2]
['Team B', 'four', 81, 2]
['Team B', 'dot', 81, 2]
['Team B', 'four', 85, 2]
['Team B', 'dot', 85, 2]
['Team A', 'dot', 0, 0]
['Team A', 'one', 1, 0]
['Team A', 'one', 2, 0]
['Team A', 'one', 3, 0]
['Team A', 'dot', 3, 0]
['Team A', 'dot', 3, 0]
['Team A', 'dot', 3, 0]
['Team A', 'four', 7, 0]
['Team A', 'three', 10, 0]
['Team A', 'one', 11, 0]
['Team A', 'dot', 11, 0]
['Team A', 'dot', 11, 0]
['Team A', 'dot', 11, 0]
['Team A', 'dot', 11, 0]
['Team A', 'dot', 11, 0]
['Team A', 'one', 12, 0]
['Team A', 'one', 13, 0]
['Team A', 'two', 15, 0]
['Team A', 'four', 19, 0]
['Team A', 'dot', 19, 0]
['Team A', 'four', 23, 0]
['Team A', 'wicket', 24, 1]
['Team A', 'one', 25, 1]
['Team A', 'one', 26, 1]
['Team A', 'dot', 26, 1]
['Team A', 'one', 27, 1]
['Team A', 'one', 28, 1]
['Team A', 'four', 32, 1]
['Team A', 'dot', 32, 1]
['Team A', 'one', 33, 1]
['Team A', 'two', 35, 1]
['Team A', 'four', 39, 1]
['Team A', 'one', 40, 1]
['Team A', 'four', 44, 1]
['Team A', 'four', 48, 1]
['Team A', 'two', 50, 1]
['Team A', 'one', 51, 1]
['Team A', 'dot', 51, 1]
['Team A', 'dot', 51, 1]
['Team A', 'four', 55, 1]
['Team A', 'one', 56, 1]
['Team A', 'wicket', 57, 2]
['Team A', 'one', 58, 2]
['Team A', 'one', 59, 2]
['Team A', 'one', 60, 2]
['Team A', 'dot', 60, 2]
['Team A', 'six', 66, 2]
['Team A', 'dot', 66, 2]
['Team A', 'six', 72, 2]
['Team A', 'dot', 72, 2]
['Team A', 'one', 73, 2]
['Team A', 'one', 74, 2]
['Team A', 'dot', 74, 2]
['Team A', 'dot', 74, 2]
['Team A', 'dot', 74, 2]
['Team A', 'one', 75, 2]
['Team A', 'one', 76, 2]
['Team A', 'dot', 76, 2]
['Team A', 'six', 82, 2]
['Team A', 'dot', 82, 2]
['Team B', 'wicket', 1, 1]
['Team B', 'four', 5, 1]
['Team B', 'one', 6, 1]
['Team B', 'dot', 6, 1]
['Team B', 'one', 7, 1]
['Team B', 'one', 8, 1]
['Team B', 'two', 10, 1]
['Team B', 'one', 11, 1]
['Team B', 'dot', 11, 1]
['Team B', 'dot', 11, 1]
['Team B', 'one', 12, 1]
['Team B', 'six', 18, 1]
['Team B', 'wicket', 19, 2]
['Team B', 'four', 23, 2]
['Team B', 'one', 24, 2]
['Team B', 'six', 30, 2]
['Team B', 'two', 32, 2]
['Team B', 'extra run', 33, 2]
['Team B', 'dot', 33, 2]
['Team B', 'two', 35, 2]
['Team B', 'dot', 35, 2]
['Team B', 'one', 36, 2]
['Team B', 'dot', 36, 2]
['Team B', 'one', 37, 2]
['Team B', 'six', 43, 2]
['Team B', 'one', 44, 2]
['Team B', 'dot', 44, 2]
['Team B', 'one', 45, 2]
['Team B', 'one', 46, 2]
['Team B', 'one', 47, 2]
['Team B', 'one', 48, 2]
['Team B', 'dot', 48, 2]
['Team B', 'one', 49, 2]
['Team B', 'one', 50, 2]
['Team B', 'four', 54, 2]
['Team B', 'one', 55, 2]
['Team B', 'two', 57, 2]
['Team B', 'dot', 57, 2]
['Team B', 'dot', 57, 2]
['Team B', 'dot', 57, 2]
['Team B', 'four', 61, 2]
['Team B', 'six', 67, 2]
['Team B', 'one', 68, 2]
['Team B', 'one', 69, 2]
['Team B', 'one', 70, 2]
['Team B', 'four', 74, 2]
['Team B', 'dot', 74, 2]
['Team B', 'one', 75, 2]
['Team B', 'wicket', 76, 3]
['Team B', 'dot', 76, 3]
['Team B', 'four', 80, 3]
['Team B', 'one', 81, 3]
['Team B', 'extra run', 82, 3]
['Team B', 'four', 86, 3]
['Team B', 'six', 92, 3]
['Team B', 'two', 94, 3]
['Team B', 'two', 96, 3]
['Team B', 'one', 97, 3]
['Team B', 'four', 101, 3]
['Team B', 'wicket', 102, 4]
['Team A', 'one', 1, 0]
['Team A', 'one', 2, 0]
['Team A', 'one', 3, 0]
['Team A', 'four', 7, 0]
['Team A', 'four', 11, 0]
['Team A', 'four', 15, 0]
['Team A', 'wicket', 16, 1]
['Team A', 'dot', 16, 1]
['Team A', 'one', 17, 1]
['Team A', 'dot', 17, 1]
['Team A', 'one', 18, 1]
['Team A', 'one', 19, 1]
['Team A', 'dot', 19, 1]
['Team A', 'four', 23, 1]
['Team A', 'one', 24, 1]
['Team A', 'dot', 24, 1]
['Team A', 'four', 28, 1]
['Team A', 'two', 30, 1]
['Team A', 'one', 31, 1]
['Team A', 'one', 32, 1]
['Team A', 'six', 38, 1]
['Team A', 'dot', 38, 1]
['Team A', 'dot', 38, 1]
['Team A', 'one', 39, 1]
['Team A', 'one', 40, 1]
['Team A', 'one', 41, 1]
['Team A', 'dot', 41, 1]
['Team A', 'dot', 41, 1]
['Team A', 'six', 47, 1]
['Team A', 'dot', 47, 1]
['Team A', 'one', 48, 1]
['Team A', 'dot', 48, 1]
['Team A', 'four', 52, 1]
['Team A', 'dot', 52, 1]
['Team A', 'dot', 52, 1]
['Team A', 'dot', 52, 1]
['Team A', 'dot', 52, 1]
['Team A', 'two', 54, 1]
['Team A', 'one', 55, 1]
['Team A', 'one', 56, 1]
['Team A', 'one', 57, 1]
['Team A', 'extra run', 59, 1]
['Team A', 'extra run', 61, 1]
['Team A', 'one', 62, 1]
['Team A', 'wicket', 63, 2]
['Team A', 'six', 69, 2]
['Team A', 'dot', 69, 2]
['Team A', 'dot', 69, 2]
['Team A', 'six', 75, 2]
['Team A', 'dot', 75, 2]
['Team A', 'dot', 75, 2]
['Team A', 'dot', 75, 2]
['Team A', 'one', 76, 2]
['Team A', 'one', 77, 2]
['Team A', 'six', 83, 2]
['Team A', 'dot', 83, 2]
['Team A', 'two', 85, 2]
['Team A', 'one', 86, 2]
['Team A', 'dot', 86, 2]
['Team A', 'one', 87, 2]
