,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 60 ,2015-05-24,Mumbai Indians,202,5,20.0,Chennai Super Kings,161,8,20.0,Mumbai Indians,Eden Gardens,Kolkata,RG Sharma,Chennai Super Kings,field,runs,41.0,N
1,Match 59 ,2015-05-22,Chennai Super Kings,140,7,19.5,Royal Challengers Bangalore,139,8,20.0,Chennai Super Kings,JSCA International Stadium Complex,Ranchi,A Nehra,Chennai Super Kings,field,wickets,3.0,N
2,Match 58 ,2015-05-20,Royal Challengers Bangalore,180,4,20.0,Rajasthan Royals,109,0,19.0,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Pune,AB de Villiers,Royal Challengers Bangalore,bat,runs,71.0,N
3,Match 57 ,2015-05-19,Chennai Super Kings,162,0,19.0,Mumbai Indians,187,6,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,KA Pollard,Mumbai Indians,bat,runs,25.0,N
4,Match 56 ,2015-05-17,Sunrisers Hyderabad,113,0,20.0,Mumbai Indians,114,1,13.5,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,MJ McClenaghan,Sunrisers Hyderabad,bat,wickets,9.0,N
5,Match 55 ,2015-05-17,Royal Challengers Bangalore,2,0,1.1,Delhi Capitals,187,5,20.0,No Result,M Chinnaswamy Stadium,Bangalore,,Royal Challengers Bangalore,field,,,
6,Match 54 ,2015-05-16,Rajasthan Royals,199,6,20.0,Kolkata Knight Riders,190,9,20.0,Rajasthan Royals,Brabourne Stadium,Mumbai,SR Watson,Rajasthan Royals,bat,runs,9.0,N
7,Match 53 ,2015-05-16,Punjab Kings,130,7,20.0,Chennai Super Kings,134,3,16.5,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,P Negi,Kings XI Punjab,bat,wickets,7.0,N
8,Match 52 ,2015-05-15,Sunrisers Hyderabad,135,3,11.0,Royal Challengers Bangalore,83,4,5.5,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,V Kohli,Sunrisers Hyderabad,bat,wickets,6.0,N
9,Match 51 ,2015-05-14,Mumbai Indians,171,4,20.0,Kolkata Knight Riders,166,7,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,HH Pandya,Kolkata Knight Riders,field,runs,5.0,N
10,Match 50 ,2015-05-13,Punjab Kings,106,6,10.0,Royal Challengers Bangalore,84,6,10.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,AR Patel,Royal Challengers Bangalore,field,runs,22.0,N
11,Match 49 ,2015-05-12,Delhi Capitals,120,4,16.4,Chennai Super Kings,119,6,20.0,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,Raipur,Z Khan,Chennai Super Kings,bat,wickets,6.0,N
12,Final ,2015-05-11,Sunrisers Hyderabad,185,5,20.0,Punjab Kings,180,7,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DA Warner,Sunrisers Hyderabad,bat,runs,5.0,N
13,Match 47 ,2015-05-10,Chennai Super Kings,157,5,20.0,Rajasthan Royals,145,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,RA Jadeja,Chennai Super Kings,bat,runs,12.0,N
14,Match 46 ,2015-05-10,Mumbai Indians,196,7,20.0,Royal Challengers Bangalore,235,1,20.0,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,AB de Villiers,Royal Challengers Bangalore,bat,runs,39.0,N
15,Match 45 ,2015-05-09,Delhi Capitals,157,4,20.0,Sunrisers Hyderabad,163,4,20.0,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,MC Henriques,Sunrisers Hyderabad,bat,runs,6.0,N
16,Match 44 ,2015-05-09,Kolkata Knight Riders,184,9,19.5,Punjab Kings,183,5,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,AD Russell,Kings XI Punjab,bat,wickets,1.0,N
17,Match 43 ,2015-05-08,Chennai Super Kings,158,5,20.0,Mumbai Indians,159,4,19.2,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,HH Pandya,Chennai Super Kings,bat,wickets,6.0,N
18,Match 42 ,2015-05-07,Kolkata Knight Riders,171,7,20.0,Delhi Capitals,158,6,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,PP Chawla,Kolkata Knight Riders,bat,runs,13.0,N
19,Match 41 ,2015-05-07,Rajasthan Royals,194,7,20.0,Sunrisers Hyderabad,201,4,20.0,Sunrisers Hyderabad,Brabourne Stadium,Mumbai,EJG Morgan,Rajasthan Royals,field,runs,7.0,N
20,Match 40 ,2015-05-06,Royal Challengers Bangalore,226,3,20.0,Punjab Kings,88,0,13.4,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,CH Gayle,Kings XI Punjab,field,runs,138.0,N
21,Match 39 ,2015-05-05,Mumbai Indians,153,5,19.3,Delhi Capitals,152,6,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,Harbhajan Singh,Delhi Daredevils,bat,wickets,5.0,N
