,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 76 ,2013-05-26,Chennai Super Kings,125,9,20.0,Mumbai Indians,148,9,20.0,Mumbai Indians,Eden Gardens,Kolkata,KA Pollard,Mumbai Indians,bat,runs,23.0,N
1,Match 75 ,2013-05-24,Rajasthan Royals,165,6,20.0,Mumbai Indians,169,6,19.5,Mumbai Indians,Eden Gardens,Kolkata,Harbhajan Singh,Rajasthan Royals,bat,wickets,4.0,N
2,Match 74 ,2013-05-22,Rajasthan Royals,135,6,19.2,Sunrisers Hyderabad,132,7,20.0,Rajasthan Royals,Feroz Shah Kotla,Delhi,BJ Hodge,Sunrisers Hyderabad,bat,wickets,4.0,N
3,Match 73 ,2013-05-21,Chennai Super Kings,192,1,20.0,Mumbai Indians,144,0,18.4,Chennai Super Kings,Feroz Shah Kotla,Delhi,MEK Hussey,Chennai Super Kings,bat,runs,48.0,N
4,Match 72 ,2013-05-19,Sunrisers Hyderabad,132,5,18.5,Kolkata Knight Riders,130,7,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,PA Patel,Kolkata Knight Riders,bat,wickets,5.0,N
5,Match 71 ,2013-05-19,Pune Warriors India,172,5,20.0,Delhi Capitals,134,9,20.0,Pune Warriors,Subrata Roy Sahara Stadium,Pune,LJ Wright,Pune Warriors,bat,runs,38.0,N
6,Match 70 ,2013-05-18,Royal Challengers Bangalore,106,2,8.0,Chennai Super Kings,82,6,8.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,V Kohli,Chennai Super Kings,field,runs,24.0,N
7,Match 69 ,2013-05-18,Punjab Kings,183,8,20.0,Mumbai Indians,133,9,19.1,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Azhar Mahmood,Mumbai Indians,field,runs,50.0,N
8,Match 68 ,2013-05-17,Sunrisers Hyderabad,136,9,20.0,Rajasthan Royals,113,9,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,A Mishra,Sunrisers Hyderabad,bat,runs,23.0,N
9,Match 67 ,2013-05-16,Punjab Kings,171,4,20.0,Delhi Capitals,164,7,20.0,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,DA Miller,Delhi Daredevils,field,runs,7.0,N
10,Match 66 ,2013-05-15,Mumbai Indians,166,8,20.0,Rajasthan Royals,152,7,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,AP Tare,Rajasthan Royals,field,runs,14.0,N
11,Match 65 ,2013-05-15,Kolkata Knight Riders,163,7,20.0,Pune Warriors India,170,4,20.0,Pune Warriors,JSCA International Stadium Complex,Ranchi,MK Pandey,Kolkata Knight Riders,field,runs,7.0,N
12,Match 64 ,2013-05-14,Chennai Super Kings,168,4,20.0,Delhi Capitals,135,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,MS Dhoni,Chennai Super Kings,bat,runs,33.0,N
13,Match 63 ,2013-05-14,Royal Challengers Bangalore,174,5,20.0,Punjab Kings,176,3,18.1,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,AC Gilchrist,Kings XI Punjab,field,wickets,7.0,N
14,Match 62 ,2013-05-13,Mumbai Indians,184,3,19.3,Sunrisers Hyderabad,178,3,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,KA Pollard,Sunrisers Hyderabad,bat,wickets,7.0,N
15,Match 61 ,2013-05-12,Rajasthan Royals,144,5,17.1,Chennai Super Kings,141,4,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,SR Watson,Rajasthan Royals,field,wickets,5.0,N
16,Match 60 ,2013-05-12,Kolkata Knight Riders,116,5,19.2,Royal Challengers Bangalore,115,9,20.0,Kolkata Knight Riders,JSCA International Stadium Complex,Ranchi,JH Kallis,Kolkata Knight Riders,field,wickets,5.0,N
17,Match 59 ,2013-05-11,Punjab Kings,120,9,20.0,Sunrisers Hyderabad,150,7,20.0,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,PA Patel,Kings XI Punjab,field,runs,30.0,N
18,Match 58 ,2013-05-11,Pune Warriors India,112,8,20.0,Mumbai Indians,116,5,18.5,Mumbai Indians,Subrata Roy Sahara Stadium,Pune,MG Johnson,Pune Warriors,bat,wickets,5.0,N
19,Match 57 ,2013-05-10,Delhi Capitals,179,7,20.0,Royal Challengers Bangalore,183,4,20.0,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,JD Unadkat,Delhi Daredevils,field,runs,4.0,N
