,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 74 ,2011-05-28,Chennai Super Kings,205,5,20.0,Royal Challengers Bangalore,147,8,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,M Vijay,Chennai Super Kings,bat,runs,58.0,N
1,Match 73 ,2011-05-27,Royal Challengers Bangalore,185,4,20.0,Mumbai Indians,142,8,20.0,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,CH Gayle,Mumbai Indians,field,runs,43.0,N
2,Match 72 ,2011-05-25,Kolkata Knight Riders,147,7,20.0,Mumbai Indians,148,6,19.2,Mumbai Indians,Wankhede Stadium,Mumbai,MM Patel,Mumbai Indians,field,wickets,4.0,N
3,Match 71 ,2011-05-24,Royal Challengers Bangalore,175,4,20.0,Chennai Super Kings,177,4,19.4,Chennai Super Kings,Wankhede Stadium,Mumbai,SK Raina,Chennai Super Kings,field,wickets,6.0,N
4,Match 70 ,2011-05-22,Kolkata Knight Riders,175,7,20.0,Mumbai Indians,178,5,20.0,Mumbai Indians,Eden Gardens,Kolkata,JEC Franklin,Mumbai Indians,field,wickets,5.0,N
5,Match 69 ,2011-05-22,Royal Challengers Bangalore,129,2,18.0,Chennai Super Kings,128,8,20.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,CH Gayle,Royal Challengers Bangalore,field,wickets,8.0,N
6,Match 68 ,2011-05-21,Delhi Capitals,116,0,19.0,Pune Warriors India,198,2,20.0,No Result,Feroz Shah Kotla,Delhi,,Delhi Daredevils,bat,,,
7,Match 67 ,2011-05-21,Punjab Kings,133,5,20.0,Deccan Chargers,134,0,13.1,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Dharamsala,S Dhawan,Kings XI Punjab,field,runs,82.0,N
8,Match 66 ,2011-05-20,Mumbai Indians,118,7,20.0,Rajasthan Royals,119,3,16.4,Rajasthan Royals,Wankhede Stadium,Mumbai,SR Watson,Mumbai Indians,bat,wickets,10.0,N
9,Match 65 ,2011-05-19,Pune Warriors India,152,5,20.0,Kolkata Knight Riders,141,5,20.0,Kolkata Knight Riders,Dr DY Patil Sports Academy,Mumbai,YK Pathan,Kolkata Knight Riders,field,wickets,7.0,N
10,Match 64 ,2011-05-18,Chennai Super Kings,232,2,20.0,Kochi Tuskers Kerala,121,0,17.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,WP Saha,Chennai Super Kings,bat,runs,11.0,N
11,Match 63 ,2011-05-17,Punjab Kings,136,9,20.0,Royal Challengers Bangalore,138,4,19.2,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,AC Gilchrist,Kings XI Punjab,bat,runs,111.0,N
12,Match 62 ,2011-05-16,Pune Warriors India,98,2,7.2,Deccan Chargers,97,0,18.3,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,A Mishra,Deccan Chargers,field,wickets,6.0,N
13,Match 61 ,2011-05-15,Kochi Tuskers Kerala,170,6,20.0,Rajasthan Royals,141,8,20.0,Kochi Tuskers Kerala,Holkar Cricket Stadium,Indore,BJ Hodge,Kochi Tuskers Kerala,field,wickets,8.0,N
14,Match 60 ,2011-05-15,Punjab Kings,125,8,20.0,Delhi Capitals,135,6,20.0,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,PP Chawla,Delhi Daredevils,field,runs,29.0,N
15,Match 59 ,2011-05-14,Mumbai Indians,105,6,12.3,Deccan Chargers,89,4,13.0,Deccan Chargers,Wankhede Stadium,Mumbai,A Mishra,Deccan Chargers,bat,runs,10.0,N
16,Match 58 ,2011-05-14,Royal Challengers Bangalore,178,7,20.0,Kolkata Knight Riders,181,4,18.5,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,CH Gayle,Royal Challengers Bangalore,field,wickets,4.0,N
17,Match 57 ,2011-05-13,Kochi Tuskers Kerala,176,4,20.0,Punjab Kings,158,6,20.0,Kings XI Punjab,Holkar Cricket Stadium,Indore,KD Karthik,Kings XI Punjab,field,wickets,6.0,N
18,Match 56 ,2011-05-12,Chennai Super Kings,146,6,20.0,Delhi Capitals,151,1,17.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,MS Dhoni,Chennai Super Kings,bat,runs,18.0,N
19,Match 55 ,2011-05-11,Rajasthan Royals,163,8,20.0,Royal Challengers Bangalore,87,0,12.5,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,S Aravind,Royal Challengers Bangalore,field,wickets,9.0,N
20,Match 54 ,2011-05-10,Punjab Kings,136,8,20.0,Mumbai Indians,137,4,18.2,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,BA Bhatt,Mumbai Indians,field,runs,76.0,N
21,Match 53 ,2011-05-10,Deccan Chargers,133,0,19.3,Pune Warriors India,196,3,20.0,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,MR Marsh,Deccan Chargers,bat,wickets,6.0,N
22,Match 52 ,2011-05-09,Rajasthan Royals,119,8,20.0,Chennai Super Kings,120,5,17.1,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,M Vijay,Rajasthan Royals,field,runs,63.0,N
23,Match 51 ,2011-05-08,Punjab Kings,128,1,13.1,Pune Warriors India,125,9,20.0,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Chandigarh,R Sharma,Kings XI Punjab,bat,wickets,5.0,N
24,Match 50 ,2011-05-08,Royal Challengers Bangalore,178,4,20.0,Kochi Tuskers Kerala,146,0,19.5,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,CH Gayle,Kochi Tuskers Kerala,bat,wickets,9.0,N
25,Match 49 ,2011-05-07,Mumbai Indians,61,2,10.0,Delhi Capitals,114,4,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,AT Rayudu,Delhi Daredevils,field,runs,32.0,N
26,Final ,2011-05-07,Kolkata Knight Riders,205,6,20.0,Chennai Super Kings,120,9,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,Iqbal Abdulla,Chennai Super Kings,bat,runs,10.0,N
27,Match 47 ,2011-05-06,Royal Challengers Bangalore,175,5,20.0,Punjab Kings,179,6,19.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,CH Gayle,Kings XI Punjab,field,runs,85.0,N
28,Match 46 ,2011-05-05,Deccan Chargers,156,5,20.0,Delhi Capitals,139,7,20.0,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,V Sehwag,Delhi Daredevils,field,wickets,4.0,N
29,Match 45 ,2011-05-05,Kochi Tuskers Kerala,139,7,20.0,Kolkata Knight Riders,160,7,20.0,Kochi Tuskers Kerala,Nehru Stadium,Kochi,BJ Hodge,Kolkata Knight Riders,field,runs,17.0,N
30,Match 44 ,2011-05-04,Pune Warriors India,149,2,18.4,Mumbai Indians,147,6,20.0,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,R Sharma,Pune Warriors,field,runs,21.0,N
31,Match 43 ,2011-05-04,Chennai Super Kings,149,6,20.0,Rajasthan Royals,169,4,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,MEK Hussey,Rajasthan Royals,bat,wickets,8.0,N
32,Match 42 ,2011-05-03,Deccan Chargers,140,6,20.0,Kolkata Knight Riders,141,3,15.0,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,YK Pathan,Deccan Chargers,field,runs,20.0,N
33,Match 41 ,2011-05-02,Delhi Capitals,159,5,20.0,Kochi Tuskers Kerala,136,8,20.0,Kochi Tuskers Kerala,Feroz Shah Kotla,Delhi,P Parameswaran,Kochi Tuskers Kerala,field,wickets,7.0,N
34,Match 40 ,2011-05-02,Mumbai Indians,165,5,20.0,Punjab Kings,146,8,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,KA Pollard,Kings XI Punjab,field,runs,23.0,N
35,Match 39 ,2011-05-01,Chennai Super Kings,144,4,19.3,Deccan Chargers,143,7,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,JA Morkel,Chennai Super Kings,bat,runs,19.0,N
36,Match 38 ,2011-05-01,Rajasthan Royals,120,2,17.2,Pune Warriors India,119,6,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,LRPL Taylor,Rajasthan Royals,field,wickets,6.0,N
37,Match 37 ,2011-04-30,Kolkata Knight Riders,119,0,18.5,Punjab Kings,157,7,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,Iqbal Abdulla,Kolkata Knight Riders,field,wickets,8.0,N
