,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 75 ,2012-05-27,Kolkata Knight Riders,192,5,19.4,Chennai Super Kings,190,3,20.0,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,MS Bisla,Chennai Super Kings,bat,wickets,5.0,N
1,Match 74 ,2012-05-25,Chennai Super Kings,222,5,20.0,Delhi Capitals,136,0,16.5,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,M Vijay,Delhi Daredevils,field,runs,86.0,N
2,Match 73 ,2012-05-23,Mumbai Indians,149,9,20.0,Chennai Super Kings,187,5,20.0,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,MS Dhoni,Mumbai Indians,field,runs,38.0,N
3,Match 72 ,2012-05-22,Delhi Capitals,144,8,20.0,Kolkata Knight Riders,162,4,20.0,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,YK Pathan,Kolkata Knight Riders,bat,runs,18.0,N
4,Match 71 ,2012-05-20,Rajasthan Royals,162,6,20.0,Mumbai Indians,163,0,18.0,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,DR Smith,Rajasthan Royals,bat,wickets,10.0,N
5,Match 70 ,2012-05-20,Deccan Chargers,132,7,20.0,Royal Challengers Bangalore,123,9,20.0,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DW Steyn,Royal Challengers Bangalore,field,runs,9.0,N
6,Match 69 ,2012-05-19,Pune Warriors India,102,8,20.0,Kolkata Knight Riders,136,4,20.0,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,Shakib Al Hasan,Kolkata Knight Riders,bat,runs,34.0,N
7,Match 68 ,2012-05-19,Punjab Kings,141,8,20.0,Delhi Capitals,145,4,18.2,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,Dharamsala,UT Yadav,Delhi Daredevils,field,wickets,6.0,N
8,Match 67 ,2012-05-18,Deccan Chargers,128,5,18.4,Rajasthan Royals,126,8,20.0,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DW Steyn,Rajasthan Royals,bat,wickets,5.0,N
9,Match 66 ,2012-05-17,Delhi Capitals,194,9,20.0,Royal Challengers Bangalore,215,1,20.0,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,CH Gayle,Delhi Daredevils,field,runs,21.0,N
10,Match 65 ,2012-05-17,Punjab Kings,123,4,16.3,Chennai Super Kings,120,7,20.0,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,AC Gilchrist,Kings XI Punjab,field,wickets,6.0,N
11,Match 64 ,2012-05-16,Mumbai Indians,108,0,19.1,Kolkata Knight Riders,140,7,20.0,Kolkata Knight Riders,Wankhede Stadium,Mumbai,SP Narine,Mumbai Indians,field,runs,32.0,N
12,Match 63 ,2012-05-15,Delhi Capitals,140,5,19.0,Punjab Kings,136,8,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,UT Yadav,Kings XI Punjab,bat,wickets,5.0,N
13,Match 62 ,2012-05-14,Kolkata Knight Riders,158,6,20.0,Chennai Super Kings,160,5,20.0,Chennai Super Kings,Eden Gardens,Kolkata,MEK Hussey,Chennai Super Kings,field,wickets,5.0,N
14,Match 61 ,2012-05-14,Royal Challengers Bangalore,171,6,20.0,Mumbai Indians,173,5,19.4,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,AT Rayudu,Mumbai Indians,field,wickets,5.0,N
15,Match 60 ,2012-05-13,Punjab Kings,194,6,20.0,Deccan Chargers,190,4,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,DJ Hussey,Deccan Chargers,bat,wickets,4.0,N
16,Match 59 ,2012-05-13,Rajasthan Royals,170,4,20.0,Pune Warriors India,125,9,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,A Chandila,Rajasthan Royals,bat,runs,45.0,N
17,Match 58 ,2012-05-12,Chennai Super Kings,115,1,15.2,Delhi Capitals,114,5,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,BW Hilfenhaus,Chennai Super Kings,field,wickets,9.0,N
18,Match 57 ,2012-05-12,Kolkata Knight Riders,155,4,20.0,Mumbai Indians,182,1,20.0,Mumbai Indians,Eden Gardens,Kolkata,RG Sharma,Mumbai Indians,bat,runs,27.0,N
19,Match 56 ,2012-05-11,Pune Warriors India,138,9,20.0,Royal Challengers Bangalore,173,3,20.0,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Pune,CH Gayle,Pune Warriors,field,runs,35.0,N
20,Match 55 ,2012-05-10,Rajasthan Royals,126,6,20.0,Chennai Super Kings,127,6,18.1,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,BW Hilfenhaus,Chennai Super Kings,field,wickets,4.0,N
21,Match 54 ,2012-05-10,Deccan Chargers,187,4,20.0,Delhi Capitals,193,1,16.4,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DA Warner,Deccan Chargers,bat,wickets,9.0,N
22,Match 53 ,2012-05-09,Mumbai Indians,141,6,20.0,Royal Challengers Bangalore,142,1,18.0,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,CH Gayle,Royal Challengers Bangalore,field,wickets,9.0,N
23,Match 52 ,2012-05-08,Deccan Chargers,145,8,20.0,Punjab Kings,170,5,20.0,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Mandeep Singh,Deccan Chargers,field,runs,25.0,N
24,Match 51 ,2012-05-08,Pune Warriors India,125,6,20.0,Rajasthan Royals,126,3,16.2,Rajasthan Royals,Subrata Roy Sahara Stadium,Pune,SR Watson,Pune Warriors,bat,wickets,7.0,N
25,Match 50 ,2012-05-07,Delhi Capitals,153,9,20.0,Kolkata Knight Riders,154,4,18.4,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,JH Kallis,Delhi Daredevils,bat,wickets,6.0,N
26,Match 49 ,2012-05-06,Royal Challengers Bangalore,185,5,18.5,Deccan Chargers,181,2,20.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,AB de Villiers,Royal Challengers Bangalore,field,wickets,5.0,N
27,Final ,2012-05-06,Mumbai Indians,174,8,20.0,Chennai Super Kings,173,8,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,DR Smith,Mumbai Indians,field,wickets,2.0,N
28,Match 47 ,2012-05-05,Punjab Kings,134,8,20.0,Rajasthan Royals,177,6,20.0,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,SR Watson,Rajasthan Royals,bat,runs,43.0,N
29,Match 46 ,2012-05-05,Kolkata Knight Riders,150,5,20.0,Pune Warriors India,143,8,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,SP Narine,Kolkata Knight Riders,bat,runs,7.0,N
30,Match 45 ,2012-05-04,Chennai Super Kings,160,6,20.0,Deccan Chargers,150,5,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,SK Raina,Chennai Super Kings,bat,runs,10.0,N
31,Match 44 ,2012-05-03,Pune Warriors India,119,6,20.0,Mumbai Indians,120,9,20.0,Mumbai Indians,Subrata Roy Sahara Stadium,Pune,SL Malinga,Mumbai Indians,bat,runs,1.0,N
32,Match 43 ,2012-05-02,Royal Challengers Bangalore,158,5,20.0,Punjab Kings,163,6,19.5,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Azhar Mahmood,Kings XI Punjab,field,wickets,4.0,N
