,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 60 ,2020-11-10,Mumbai Indians,157,5,18.4,Delhi Capitals,156,7,20.0,Mumbai Indians,Dubai International Cricket Stadium,Dubai,TA Boult,Delhi Capitals,bat,wickets,5.0,N
1,Match 59 ,2020-11-08,Delhi Capitals,189,3,20.0,Sunrisers Hyderabad,172,8,20.0,Delhi Capitals,Sheikh Zayed Stadium,Abu Dhabi,MP Stoinis,Delhi Capitals,bat,runs,17.0,N
2,Match 58 ,2020-11-06,Sunrisers Hyderabad,132,4,19.4,Royal Challengers Bangalore,131,7,20.0,Sunrisers Hyderabad,Sheikh Zayed Stadium,Abu Dhabi,KS Williamson,Sunrisers Hyderabad,field,wickets,6.0,N
3,Match 57 ,2020-11-05,Mumbai Indians,200,5,20.0,Delhi Capitals,143,8,20.0,Mumbai Indians,Dubai International Cricket Stadium,Dubai,JJ Bumrah,Delhi Capitals,field,runs,57.0,N
4,Match 56 ,2020-11-03,Sunrisers Hyderabad,151,0,17.1,Mumbai Indians,149,8,20.0,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sharjah,S Nadeem,Sunrisers Hyderabad,field,wickets,10.0,N
5,Match 55 ,2020-11-02,Delhi Capitals,154,4,19.0,Royal Challengers Bangalore,152,7,20.0,Delhi Capitals,Sheikh Zayed Stadium,Abu Dhabi,A Nortje,Delhi Capitals,field,wickets,6.0,N
6,Match 54 ,2020-11-01,Kolkata Knight Riders,191,7,20.0,Rajasthan Royals,131,9,20.0,Kolkata Knight Riders,Dubai International Cricket Stadium,Dubai,PJ Cummins,Rajasthan Royals,field,runs,60.0,N
7,Match 53 ,2020-11-01,Chennai Super Kings,154,1,18.5,Punjab Kings,153,6,20.0,Chennai Super Kings,Sheikh Zayed Stadium,Abu Dhabi,RD Gaikwad,Chennai Super Kings,field,wickets,9.0,N
8,Match 52 ,2020-10-31,Royal Challengers Bangalore,120,7,20.0,Sunrisers Hyderabad,121,5,14.1,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sharjah,Sandeep Sharma,Sunrisers Hyderabad,field,wickets,5.0,N
9,Match 51 ,2020-10-31,Delhi Capitals,110,9,20.0,Mumbai Indians,111,1,14.2,Mumbai Indians,Dubai International Cricket Stadium,Dubai,Ishan Kishan,Mumbai Indians,field,wickets,9.0,N
10,Match 50 ,2020-10-30,Punjab Kings,185,4,20.0,Rajasthan Royals,186,3,17.3,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,BA Stokes,Rajasthan Royals,field,wickets,7.0,N
11,Match 49 ,2020-10-29,Chennai Super Kings,178,4,20.0,Kolkata Knight Riders,172,5,20.0,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,RD Gaikwad,Chennai Super Kings,field,wickets,6.0,N
12,Final ,2020-10-28,Mumbai Indians,166,5,19.1,Royal Challengers Bangalore,164,6,20.0,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,SA Yadav,Mumbai Indians,field,wickets,5.0,N
13,Match 47 ,2020-10-27,Sunrisers Hyderabad,219,2,20.0,Delhi Capitals,131,0,19.0,Sunrisers Hyderabad,Dubai International Cricket Stadium,Dubai,WP Saha,Delhi Capitals,field,runs,88.0,N
14,Match 46 ,2020-10-26,Kolkata Knight Riders,149,9,20.0,Punjab Kings,150,2,18.5,Kings XI Punjab,Sharjah Cricket Stadium,Sharjah,CH Gayle,Kings XI Punjab,field,wickets,8.0,N
15,Match 45 ,2020-10-25,Rajasthan Royals,196,2,18.2,Mumbai Indians,195,5,20.0,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,BA Stokes,Mumbai Indians,bat,wickets,8.0,N
16,Match 44 ,2020-10-25,Royal Challengers Bangalore,145,6,20.0,Chennai Super Kings,150,2,18.4,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,RD Gaikwad,Royal Challengers Bangalore,bat,wickets,8.0,N
17,Match 43 ,2020-10-24,Punjab Kings,126,7,20.0,Sunrisers Hyderabad,114,0,19.5,Kings XI Punjab,Dubai International Cricket Stadium,Dubai,CJ Jordan,Sunrisers Hyderabad,field,runs,12.0,N
18,Match 42 ,2020-10-24,Kolkata Knight Riders,194,6,20.0,Delhi Capitals,135,9,20.0,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,CV Varun,Delhi Capitals,field,runs,59.0,N
19,Match 41 ,2020-10-23,Chennai Super Kings,114,9,20.0,Mumbai Indians,116,0,12.2,Mumbai Indians,Sharjah Cricket Stadium,Sharjah,TA Boult,Mumbai Indians,field,wickets,10.0,N
20,Match 40 ,2020-10-22,Rajasthan Royals,154,6,20.0,Sunrisers Hyderabad,156,2,18.1,Sunrisers Hyderabad,Dubai International Cricket Stadium,Dubai,MK Pandey,Sunrisers Hyderabad,field,wickets,8.0,N
21,Match 39 ,2020-10-21,Kolkata Knight Riders,84,8,20.0,Royal Challengers Bangalore,85,2,13.3,Royal Challengers Bangalore,Sheikh Zayed Stadium,Abu Dhabi,Mohammed Siraj,Kolkata Knight Riders,bat,wickets,8.0,N
22,Match 38 ,2020-10-20,Punjab Kings,167,5,19.0,Delhi Capitals,164,5,20.0,Kings XI Punjab,Dubai International Cricket Stadium,Dubai,S Dhawan,Delhi Capitals,bat,wickets,5.0,N
23,Match 37 ,2020-10-19,Chennai Super Kings,125,5,20.0,Rajasthan Royals,126,3,17.3,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,JC Buttler,Chennai Super Kings,bat,wickets,7.0,N
24,Match 36 ,2020-10-18,Mumbai Indians,176,6,20.0,Punjab Kings,176,6,20.0,Kings XI Punjab,Dubai International Cricket Stadium,Dubai,KL Rahul,Mumbai Indians,bat,tie,,Y
25,Match 35 ,2020-10-18,Sunrisers Hyderabad,163,6,20.0,Kolkata Knight Riders,163,5,20.0,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,LH Ferguson,Sunrisers Hyderabad,field,tie,,Y
26,Match 34 ,2020-10-17,Delhi Capitals,185,5,19.5,Chennai Super Kings,179,4,20.0,Delhi Capitals,Sharjah Cricket Stadium,Sharjah,S Dhawan,Chennai Super Kings,bat,wickets,5.0,N
27,Match 33 ,2020-10-17,Rajasthan Royals,177,6,20.0,Royal Challengers Bangalore,179,3,19.4,Royal Challengers Bangalore,Dubai International Cricket Stadium,Dubai,AB de Villiers,Rajasthan Royals,bat,wickets,7.0,N
28,Match 32 ,2020-10-16,Mumbai Indians,149,2,16.5,Kolkata Knight Riders,148,5,20.0,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,Q de Kock,Kolkata Knight Riders,bat,wickets,8.0,N
29,Match 31 ,2020-10-15,Royal Challengers Bangalore,171,6,20.0,Punjab Kings,177,2,20.0,Kings XI Punjab,Sharjah Cricket Stadium,Sharjah,KL Rahul,Royal Challengers Bangalore,bat,wickets,8.0,N
30,Match 30 ,2020-10-14,Delhi Capitals,161,7,20.0,Rajasthan Royals,148,8,20.0,Delhi Capitals,Dubai International Cricket Stadium,Dubai,A Nortje,Delhi Capitals,bat,runs,13.0,N
31,Match 29 ,2020-10-13,Sunrisers Hyderabad,147,8,20.0,Chennai Super Kings,167,6,20.0,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,RA Jadeja,Chennai Super Kings,bat,runs,20.0,N
32,Match 28 ,2020-10-12,Royal Challengers Bangalore,194,2,20.0,Kolkata Knight Riders,112,9,20.0,Royal Challengers Bangalore,Sharjah Cricket Stadium,Sharjah,AB de Villiers,Royal Challengers Bangalore,bat,runs,82.0,N
33,Match 27 ,2020-10-11,Mumbai Indians,166,5,19.4,Delhi Capitals,162,4,20.0,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,Q de Kock,Delhi Capitals,bat,wickets,5.0,N
