,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
37,Match 22 ,2009-04-30,Chennai Super Kings,164,5,20.0,Rajasthan Royals,126,9,19.3,Chennai Super Kings,SuperSport Park,Centurion,SK Raina,Rajasthan Royals,field,runs,38.0,N
38,Match 21 ,2009-04-30,Deccan Chargers,148,9,20.0,Delhi Capitals,150,4,18.4,Delhi Capitals,SuperSport Park,Centurion,DP Nannes,Delhi Daredevils,field,wickets,6.0,N
39,Match 20 ,2009-04-29,Punjab Kings,119,8,20.0,Mumbai Indians,116,7,20.0,Kings XI Punjab,Kingsmead,Durban,KC Sangakkara,Kings XI Punjab,bat,runs,3.0,N
40,Match 19 ,2009-04-29,Royal Challengers Bangalore,143,5,19.5,Kolkata Knight Riders,139,6,20.0,Royal Challengers Bangalore,Kingsmead,Durban,MV Boucher,Kolkata Knight Riders,bat,wickets,5.0,N
41,Match 18 ,2009-04-28,Delhi Capitals,143,7,20.0,Rajasthan Royals,147,5,18.3,Rajasthan Royals,SuperSport Park,Centurion,YK Pathan,Delhi Daredevils,bat,wickets,5.0,N
42,Match 17 ,2009-04-27,Kolkata Knight Riders,95,9,15.2,Mumbai Indians,187,6,20.0,Mumbai Indians,St George's Park,Port Elizabeth,SR Tendulkar,Mumbai Indians,bat,runs,92.0,N
43,Match 16 ,2009-04-27,Chennai Super Kings,165,6,20.0,Deccan Chargers,169,4,19.3,Deccan Chargers,Kingsmead,Durban,HH Gibbs,Deccan Chargers,field,wickets,6.0,N
44,Match 15 ,2009-04-26,Punjab Kings,139,6,20.0,Rajasthan Royals,112,7,20.0,Kings XI Punjab,Newlands,Cape Town,KC Sangakkara,Kings XI Punjab,bat,runs,27.0,N
45,Match 14 ,2009-04-26,Royal Challengers Bangalore,149,7,20.0,Delhi Capitals,150,4,19.2,Delhi Capitals,St George's Park,Port Elizabeth,TM Dilshan,Royal Challengers Bangalore,bat,wickets,6.0,N
46,Match 12 ,2009-04-25,Deccan Chargers,173,0,20.0,Mumbai Indians,168,9,19.0,Deccan Chargers,Kingsmead,Durban,PP Ojha,Deccan Chargers,bat,runs,12.0,N
47,Match 11 ,2009-04-24,Royal Challengers Bangalore,150,0,20.0,Punjab Kings,150,8,20.0,Kings XI Punjab,Kingsmead,Durban,RS Bopara,Royal Challengers Bangalore,bat,wickets,7.0,N
48,Match 10 ,2009-04-23,Kolkata Knight Riders,189,0,20.0,Rajasthan Royals,180,9,20.0,Rajasthan Royals,Newlands,Cape Town,YK Pathan,Kolkata Knight Riders,field,tie,,Y
49,Match 9 ,2009-04-23,Chennai Super Kings,184,0,20.0,Delhi Capitals,160,8,20.0,Delhi Capitals,Kingsmead,Durban,AB de Villiers,Delhi Daredevils,bat,runs,9.0,N
50,Match 8 ,2009-04-22,Royal Challengers Bangalore,158,6,20.0,Deccan Chargers,79,1,9.2,Deccan Chargers,Newlands,Cape Town,AC Gilchrist,Deccan Chargers,bat,runs,24.0,N
51,Match 6 ,2009-04-21,Punjab Kings,104,2,13.1,Kolkata Knight Riders,101,0,19.4,Kolkata Knight Riders,Kingsmead,Durban,CH Gayle,Kolkata Knight Riders,field,runs,11.0,N
52,Match 5 ,2009-04-20,Royal Challengers Bangalore,58,0,4.5,Chennai Super Kings,104,7,12.0,Chennai Super Kings,St George's Park,Port Elizabeth,M Muralitharan,Chennai Super Kings,bat,runs,92.0,N
53,Match 4 ,2009-04-19,Deccan Chargers,133,8,20.0,Kolkata Knight Riders,58,0,15.1,Deccan Chargers,Newlands,Cape Town,RP Singh,Kolkata Knight Riders,bat,wickets,8.0,N
54,Match 3 ,2009-04-19,Delhi Capitals,146,7,20.0,Punjab Kings,165,7,20.0,Delhi Capitals,Newlands,Cape Town,DL Vettori,Delhi Daredevils,field,wickets,10.0,N
55,Match 2 ,2009-04-18,Royal Challengers Bangalore,0,0,0.0,Rajasthan Royals,0,0,0.0,Royal Challengers Bangalore,Newlands,Cape Town,R Dravid,Royal Challengers Bangalore,bat,runs,75.0,N
56,Match 1 ,2009-04-18,Chennai Super Kings,0,0,0.0,Mumbai Indians,0,0,0.0,Mumbai Indians,Newlands,Cape Town,SR Tendulkar,Chennai Super Kings,field,runs,19.0,N
