,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 60 ,2019-05-12,Mumbai Indians,149,8,20.0,Chennai Super Kings,148,7,20.0,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,JJ Bumrah,Mumbai Indians,bat,runs,1.0,N
1,Match 59 ,2019-05-10,Chennai Super Kings,151,4,19.0,Delhi Capitals,147,9,20.0,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,F du Plessis,Chennai Super Kings,field,wickets,6.0,N
2,Match 58 ,2019-05-08,Delhi Capitals,165,8,19.5,Sunrisers Hyderabad,162,8,20.0,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,RR Pant,Delhi Capitals,field,wickets,2.0,N
3,Match 57 ,2019-05-07,Mumbai Indians,132,4,18.3,Chennai Super Kings,131,4,20.0,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,SA Yadav,Chennai Super Kings,bat,wickets,6.0,N
4,Match 56 ,2019-05-05,Mumbai Indians,134,1,16.1,Kolkata Knight Riders,133,7,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,HH Pandya,Mumbai Indians,field,wickets,9.0,N
5,Match 55 ,2019-05-05,Punjab Kings,173,4,18.0,Chennai Super Kings,170,5,20.0,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,KL Rahul,Kings XI Punjab,field,wickets,6.0,N
6,Match 54 ,2019-05-04,Royal Challengers Bangalore,178,6,19.2,Sunrisers Hyderabad,175,7,20.0,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,SO Hetmyer,Royal Challengers Bangalore,field,wickets,4.0,N
7,Match 53 ,2019-05-04,Delhi Capitals,121,5,16.1,Rajasthan Royals,115,9,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,A Mishra,Rajasthan Royals,bat,wickets,5.0,N
8,Match 52 ,2019-05-03,Punjab Kings,183,6,20.0,Kolkata Knight Riders,185,3,18.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Shubman Gill,Kolkata Knight Riders,field,wickets,7.0,N
9,Match 51 ,2019-05-02,Mumbai Indians,162,5,20.0,Sunrisers Hyderabad,162,6,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,JJ Bumrah,Mumbai Indians,bat,tie,,Y
10,Match 50 ,2019-05-01,Chennai Super Kings,179,4,20.0,Delhi Capitals,99,0,16.2,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,MS Dhoni,Delhi Capitals,field,runs,80.0,N
11,Match 49 ,2019-04-30,Royal Challengers Bangalore,62,7,5.0,Rajasthan Royals,41,1,3.2,No Result,M.Chinnaswamy Stadium,Bengaluru,,Rajasthan Royals,field,,,
12,Final ,2019-04-29,Sunrisers Hyderabad,212,6,20.0,Punjab Kings,167,8,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DA Warner,Kings XI Punjab,field,runs,45.0,N
13,Match 47 ,2019-04-28,Kolkata Knight Riders,232,2,20.0,Mumbai Indians,198,7,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,AD Russell,Mumbai Indians,field,runs,34.0,N
14,Match 46 ,2019-04-28,Delhi Capitals,187,5,20.0,Royal Challengers Bangalore,171,7,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,S Dhawan,Delhi Capitals,bat,runs,16.0,N
15,Match 45 ,2019-04-27,Rajasthan Royals,161,3,19.1,Sunrisers Hyderabad,160,8,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,JD Unadkat,Rajasthan Royals,field,wickets,7.0,N
16,Match 44 ,2019-04-26,Chennai Super Kings,109,0,17.4,Mumbai Indians,155,4,20.0,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,RG Sharma,Chennai Super Kings,field,runs,46.0,N
17,Match 43 ,2019-04-25,Kolkata Knight Riders,175,6,20.0,Rajasthan Royals,177,7,19.2,Rajasthan Royals,Eden Gardens,Kolkata,VR Aaron,Rajasthan Royals,field,wickets,3.0,N
18,Match 42 ,2019-04-24,Royal Challengers Bangalore,202,4,20.0,Punjab Kings,185,7,20.0,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,AB de Villiers,Kings XI Punjab,field,runs,17.0,N
19,Match 41 ,2019-04-23,Chennai Super Kings,176,4,19.5,Sunrisers Hyderabad,175,3,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,SR Watson,Chennai Super Kings,field,wickets,6.0,N
20,Match 40 ,2019-04-22,Rajasthan Royals,191,6,20.0,Delhi Capitals,193,4,19.2,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,RR Pant,Delhi Capitals,field,wickets,6.0,N
21,Match 39 ,2019-04-21,Royal Challengers Bangalore,161,7,20.0,Chennai Super Kings,160,8,20.0,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,PA Patel,Chennai Super Kings,field,runs,1.0,N
22,Match 38 ,2019-04-21,Sunrisers Hyderabad,161,1,15.0,Kolkata Knight Riders,159,8,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,KK Ahmed,Sunrisers Hyderabad,field,wickets,9.0,N
23,Match 37 ,2019-04-20,Delhi Capitals,166,5,19.4,Punjab Kings,163,7,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,SS Iyer,Delhi Capitals,field,wickets,5.0,N
