,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
24,Match 36 ,2019-04-20,Rajasthan Royals,162,5,19.1,Mumbai Indians,161,5,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,SPD Smith,Rajasthan Royals,field,wickets,5.0,N
25,Match 35 ,2019-04-19,Kolkata Knight Riders,203,5,20.0,Royal Challengers Bangalore,213,4,20.0,Royal Challengers Bangalore,Eden Gardens,Kolkata,V Kohli,Kolkata Knight Riders,field,runs,10.0,N
26,Match 34 ,2019-04-18,Delhi Capitals,128,9,20.0,Mumbai Indians,168,5,20.0,Mumbai Indians,Feroz Shah Kotla,Delhi,HH Pandya,Mumbai Indians,bat,runs,40.0,N
27,Match 33 ,2019-04-17,Sunrisers Hyderabad,137,4,16.5,Chennai Super Kings,132,5,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DA Warner,Chennai Super Kings,bat,wickets,6.0,N
28,Match 32 ,2019-04-16,Punjab Kings,182,6,20.0,Rajasthan Royals,170,7,20.0,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,R Ashwin,Rajasthan Royals,field,runs,12.0,N
29,Match 31 ,2019-04-15,Mumbai Indians,172,5,19.0,Royal Challengers Bangalore,171,7,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,SL Malinga,Mumbai Indians,field,wickets,5.0,N
30,Match 30 ,2019-04-14,Sunrisers Hyderabad,116,0,18.5,Delhi Capitals,155,7,20.0,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,KMA Paul,Sunrisers Hyderabad,field,runs,39.0,N
31,Match 29 ,2019-04-14,Kolkata Knight Riders,161,8,20.0,Chennai Super Kings,162,5,19.4,Chennai Super Kings,Eden Gardens,Kolkata,Imran Tahir,Chennai Super Kings,field,wickets,5.0,N
32,Match 28 ,2019-04-13,Punjab Kings,173,4,20.0,Royal Challengers Bangalore,174,2,19.2,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,AB de Villiers,Royal Challengers Bangalore,field,wickets,8.0,N
33,Match 27 ,2019-04-13,Mumbai Indians,187,5,20.0,Rajasthan Royals,188,6,19.3,Rajasthan Royals,Wankhede Stadium,Mumbai,JC Buttler,Rajasthan Royals,field,wickets,4.0,N
34,Match 26 ,2019-04-12,Kolkata Knight Riders,178,7,20.0,Delhi Capitals,180,3,18.5,Delhi Capitals,Eden Gardens,Kolkata,S Dhawan,Delhi Capitals,field,wickets,7.0,N
35,Match 25 ,2019-04-11,Rajasthan Royals,151,7,20.0,Chennai Super Kings,155,6,20.0,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,MS Dhoni,Chennai Super Kings,field,wickets,4.0,N
36,Match 24 ,2019-04-10,Mumbai Indians,198,7,20.0,Punjab Kings,197,4,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,KA Pollard,Mumbai Indians,field,wickets,3.0,N
37,Match 23 ,2019-04-09,Chennai Super Kings,111,3,17.2,Kolkata Knight Riders,108,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,DL Chahar,Chennai Super Kings,field,wickets,7.0,N
38,Match 22 ,2019-04-08,Punjab Kings,151,4,19.5,Sunrisers Hyderabad,150,4,20.0,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,KL Rahul,Kings XI Punjab,field,wickets,6.0,N
39,Match 21 ,2019-04-07,Rajasthan Royals,139,3,20.0,Kolkata Knight Riders,140,2,13.5,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,HF Gurney,Kolkata Knight Riders,field,wickets,8.0,N
40,Match 20 ,2019-04-07,Royal Challengers Bangalore,149,8,20.0,Delhi Capitals,152,6,18.5,Delhi Capitals,M.Chinnaswamy Stadium,Bengaluru,K Rabada,Delhi Capitals,field,wickets,4.0,N
41,Match 19 ,2019-04-06,Sunrisers Hyderabad,96,0,17.4,Mumbai Indians,136,7,20.0,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,AS Joseph,Sunrisers Hyderabad,field,runs,40.0,N
42,Match 18 ,2019-04-06,Chennai Super Kings,160,3,20.0,Punjab Kings,138,5,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Harbhajan Singh,Chennai Super Kings,bat,runs,22.0,N
43,Match 17 ,2019-04-05,Royal Challengers Bangalore,205,3,20.0,Kolkata Knight Riders,206,5,19.1,Kolkata Knight Riders,M.Chinnaswamy Stadium,Bengaluru,AD Russell,Kolkata Knight Riders,field,wickets,5.0,N
44,Match 16 ,2019-04-04,Delhi Capitals,129,8,20.0,Sunrisers Hyderabad,131,5,18.3,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,JM Bairstow,Sunrisers Hyderabad,field,wickets,5.0,N
45,Match 15 ,2019-04-03,Mumbai Indians,170,5,20.0,Chennai Super Kings,133,8,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,HH Pandya,Chennai Super Kings,field,runs,37.0,N
46,Match 14 ,2019-04-02,Rajasthan Royals,164,3,19.5,Royal Challengers Bangalore,158,4,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,S Gopal,Rajasthan Royals,field,wickets,7.0,N
47,Match 13 ,2019-04-01,Punjab Kings,166,9,20.0,Delhi Capitals,152,0,19.2,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,SM Curran,Delhi Capitals,field,runs,14.0,N
48,Match 12 ,2019-03-31,Chennai Super Kings,175,5,20.0,Rajasthan Royals,167,8,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,MS Dhoni,Rajasthan Royals,field,runs,8.0,N
49,Match 11 ,2019-03-31,Sunrisers Hyderabad,231,2,20.0,Royal Challengers Bangalore,113,0,19.5,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,JM Bairstow,Royal Challengers Bangalore,field,runs,118.0,N
50,Match 10 ,2019-03-30,Delhi Capitals,185,6,20.0,Kolkata Knight Riders,185,8,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,PP Shaw,Delhi Capitals,field,tie,,Y
51,Match 9 ,2019-03-30,Punjab Kings,177,2,18.4,Mumbai Indians,176,7,20.0,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,MA Agarwal,Kings XI Punjab,field,wickets,8.0,N
52,Match 8 ,2019-03-29,Sunrisers Hyderabad,201,5,19.0,Rajasthan Royals,198,2,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rashid Khan,Rajasthan Royals,bat,wickets,5.0,N
53,Match 7 ,2019-03-28,Royal Challengers Bangalore,181,5,20.0,Mumbai Indians,187,8,20.0,Mumbai Indians,M.Chinnaswamy Stadium,Bengaluru,JJ Bumrah,Royal Challengers Bangalore,field,runs,6.0,N
54,Match 6 ,2019-03-27,Kolkata Knight Riders,218,4,20.0,Punjab Kings,190,4,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,AD Russell,Kings XI Punjab,field,runs,28.0,N
55,Match 5 ,2019-03-26,Delhi Capitals,147,6,20.0,Chennai Super Kings,150,4,19.4,Chennai Super Kings,Feroz Shah Kotla,Delhi,SR Watson,Delhi Capitals,bat,wickets,6.0,N
56,Match 4 ,2019-03-25,Rajasthan Royals,170,9,20.0,Punjab Kings,184,4,20.0,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,CH Gayle,Rajasthan Royals,field,runs,14.0,N
57,Match 3 ,2019-03-24,Mumbai Indians,176,9,19.2,Delhi Capitals,213,6,20.0,Delhi Capitals,Wankhede Stadium,Mumbai,RR Pant,Mumbai Indians,field,runs,37.0,N
58,Match 2 ,2019-03-24,Kolkata Knight Riders,183,4,19.4,Sunrisers Hyderabad,181,3,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,AD Russell,Kolkata Knight Riders,field,wickets,6.0,N
59,Match 1 ,2019-03-23,Chennai Super Kings,71,3,17.4,Royal Challengers Bangalore,70,0,17.1,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Harbhajan Singh,Chennai Super Kings,field,wickets,7.0,N
