,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
15,Match 45 ,2010-04-11,Rajasthan Royals,137,8,20.0,Mumbai Indians,174,5,20.0,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,SR Tendulkar,Rajasthan Royals,field,runs,37.0,N
16,Match 44 ,2010-04-11,Delhi Capitals,111,0,19.4,Punjab Kings,112,3,18.4,Kings XI Punjab,Feroz Shah Kotla,Delhi,PP Chawla,Delhi Daredevils,bat,wickets,7.0,N
17,Match 43 ,2010-04-10,Royal Challengers Bangalore,162,3,17.1,Kolkata Knight Riders,160,9,20.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,R Vinay Kumar,Royal Challengers Bangalore,field,wickets,7.0,N
18,Match 42 ,2010-04-10,Deccan Chargers,139,4,19.1,Chennai Super Kings,138,8,20.0,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,RJ Harris,Chennai Super Kings,bat,wickets,6.0,N
19,Match 41 ,2010-04-09,Punjab Kings,158,4,19.2,Mumbai Indians,154,9,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KC Sangakkara,Mumbai Indians,bat,wickets,6.0,N
20,Match 40 ,2010-04-08,Royal Challengers Bangalore,184,6,20.0,Deccan Chargers,186,3,19.2,Deccan Chargers,M Chinnaswamy Stadium,Bangalore,TL Suman,Deccan Chargers,field,wickets,7.0,N
21,Match 39 ,2010-04-07,Kolkata Knight Riders,181,3,20.0,Delhi Capitals,167,8,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,SC Ganguly,Kolkata Knight Riders,bat,runs,14.0,N
22,Match 38 ,2010-04-07,Rajasthan Royals,157,1,15.0,Punjab Kings,153,6,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,MJ Lumb,Kings XI Punjab,bat,wickets,9.0,N
23,Match 37 ,2010-04-06,Chennai Super Kings,165,4,20.0,Mumbai Indians,141,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,SK Raina,Chennai Super Kings,bat,runs,24.0,N
24,Match 36 ,2010-04-05,Deccan Chargers,157,0,19.5,Rajasthan Royals,159,0,19.5,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,SK Warne,Rajasthan Royals,bat,runs,2.0,N
25,Match 35 ,2010-04-04,Delhi Capitals,184,5,20.0,Royal Challengers Bangalore,147,9,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,PD Collingwood,Delhi Daredevils,bat,runs,37.0,N
26,Match 34 ,2010-04-04,Kolkata Knight Riders,200,3,20.0,Punjab Kings,204,2,18.2,Kings XI Punjab,Eden Gardens,Kolkata,DPMD Jayawardene,Kolkata Knight Riders,bat,wickets,8.0,N
27,Match 33 ,2010-04-03,Mumbai Indians,178,5,20.0,Deccan Chargers,115,0,18.2,Mumbai Indians,Brabourne Stadium,Mumbai,AT Rayudu,Mumbai Indians,bat,runs,63.0,N
28,Match 32 ,2010-04-03,Chennai Super Kings,246,5,20.0,Rajasthan Royals,223,5,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,M Vijay,Chennai Super Kings,bat,runs,23.0,N
29,Match 31 ,2010-04-02,Punjab Kings,181,5,20.0,Royal Challengers Bangalore,184,4,19.1,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KP Pietersen,Kings XI Punjab,bat,wickets,6.0,N
30,Match 30 ,2010-04-01,Kolkata Knight Riders,181,6,20.0,Deccan Chargers,157,5,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,SC Ganguly,Kolkata Knight Riders,bat,runs,24.0,N
31,Match 29 ,2010-03-31,Delhi Capitals,188,6,20.0,Rajasthan Royals,121,0,17.4,Delhi Capitals,Feroz Shah Kotla,Delhi,KD Karthik,Delhi Daredevils,bat,runs,67.0,N
32,Match 28 ,2010-03-31,Chennai Super Kings,162,5,18.5,Royal Challengers Bangalore,161,4,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,M Vijay,Royal Challengers Bangalore,bat,wickets,5.0,N
33,Match 27 ,2010-03-30,Mumbai Indians,164,6,19.3,Punjab Kings,163,0,20.0,Mumbai Indians,Brabourne Stadium,Mumbai,SL Malinga,Mumbai Indians,field,wickets,4.0,N
34,Match 26 ,2010-03-29,Delhi Capitals,177,4,20.0,Kolkata Knight Riders,137,9,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,DA Warner,Delhi Daredevils,bat,runs,40.0,N
35,Match 25 ,2010-03-28,Deccan Chargers,131,0,17.4,Mumbai Indians,172,7,20.0,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,Harbhajan Singh,Deccan Chargers,field,runs,41.0,N
36,Match 24 ,2010-03-28,Rajasthan Royals,177,8,20.0,Chennai Super Kings,160,6,20.0,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,NV Ojha,Rajasthan Royals,bat,runs,17.0,N
37,Match 23 ,2010-03-27,Punjab Kings,144,6,20.0,Kolkata Knight Riders,183,5,20.0,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,MK Tiwary,Kolkata Knight Riders,bat,runs,39.0,N
38,Match 22 ,2010-03-26,Rajasthan Royals,151,2,15.4,Deccan Chargers,148,9,20.0,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,YK Pathan,Deccan Chargers,bat,wickets,8.0,N
39,Match 21 ,2010-03-25,Mumbai Indians,181,5,19.0,Chennai Super Kings,180,2,20.0,Mumbai Indians,Brabourne Stadium,Mumbai,SR Tendulkar,Mumbai Indians,field,wickets,5.0,N
40,Match 20 ,2010-03-25,Royal Challengers Bangalore,166,9,20.0,Delhi Capitals,183,4,20.0,Delhi Capitals,M Chinnaswamy Stadium,Bangalore,KM Jadhav,Royal Challengers Bangalore,field,runs,17.0,N
41,Match 19 ,2010-03-24,Punjab Kings,152,0,19.1,Rajasthan Royals,183,5,20.0,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,AC Voges,Kings XI Punjab,field,runs,31.0,N
42,Match 18 ,2010-03-23,Royal Challengers Bangalore,171,5,20.0,Chennai Super Kings,135,7,20.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,RV Uthappa,Chennai Super Kings,field,runs,36.0,N
43,Match 17 ,2010-03-22,Mumbai Indians,156,3,18.3,Kolkata Knight Riders,155,3,20.0,Mumbai Indians,Brabourne Stadium,Mumbai,SR Tendulkar,Kolkata Knight Riders,bat,wickets,7.0,N
44,Match 16 ,2010-03-21,Chennai Super Kings,136,7,20.0,Punjab Kings,136,8,20.0,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai,J Theron,Chennai Super Kings,field,tie,,Y
45,Match 15 ,2010-03-21,Deccan Chargers,171,6,20.0,Delhi Capitals,161,9,20.0,Deccan Chargers,Barabati Stadium,Cuttack,A Symonds,Deccan Chargers,bat,runs,10.0,N
46,Match 14 ,2010-03-20,Mumbai Indians,151,9,20.0,Royal Challengers Bangalore,155,3,19.1,Royal Challengers Bangalore,Brabourne Stadium,Mumbai,JH Kallis,Mumbai Indians,bat,wickets,7.0,N
47,Match 13 ,2010-03-20,Rajasthan Royals,168,7,20.0,Kolkata Knight Riders,134,5,20.0,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,AA Jhunjhunwala,Rajasthan Royals,bat,runs,34.0,N
48,Match 12 ,2010-03-19,Deccan Chargers,170,7,20.0,Punjab Kings,164,8,20.0,Deccan Chargers,Barabati Stadium,Cuttack,A Symonds,Kings XI Punjab,field,runs,6.0,N
49,Match 11 ,2010-03-19,Delhi Capitals,185,6,20.0,Chennai Super Kings,190,5,19.1,Chennai Super Kings,Feroz Shah Kotla,Delhi,ML Hayden,Delhi Daredevils,bat,wickets,5.0,N
50,Match 10 ,2010-03-18,Royal Challengers Bangalore,93,0,10.4,Rajasthan Royals,92,0,19.5,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,JH Kallis,Royal Challengers Bangalore,field,wickets,10.0,N
51,Match 9 ,2010-03-17,Delhi Capitals,120,9,16.3,Mumbai Indians,218,7,20.0,Mumbai Indians,Feroz Shah Kotla,Delhi,SR Tendulkar,Delhi Daredevils,field,runs,98.0,N
52,Match 8 ,2010-03-16,Kolkata Knight Riders,109,0,19.2,Chennai Super Kings,164,3,20.0,Chennai Super Kings,Eden Gardens,Kolkata,MS Dhoni,Chennai Super Kings,bat,runs,55.0,N
53,Match 7 ,2010-03-16,Royal Challengers Bangalore,204,2,18.5,Punjab Kings,203,3,20.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,JH Kallis,Kings XI Punjab,bat,wickets,8.0,N
54,Match 6 ,2010-03-15,Rajasthan Royals,141,6,20.0,Delhi Capitals,142,4,17.1,Delhi Capitals,"Sardar Patel Stadium, Motera",Ahmedabad,V Sehwag,Delhi Daredevils,field,wickets,6.0,N
55,Match 5 ,2010-03-14,Chennai Super Kings,159,9,20.0,Deccan Chargers,190,4,20.0,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,WPUJC Vaas,Deccan Chargers,bat,runs,31.0,N
56,Match 4 ,2010-03-14,Kolkata Knight Riders,136,3,19.2,Royal Challengers Bangalore,135,7,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,MK Tiwary,Kolkata Knight Riders,field,wickets,7.0,N
57,Match 3 ,2010-03-13,Punjab Kings,142,9,20.0,Delhi Capitals,146,5,19.5,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,G Gambhir,Delhi Daredevils,field,wickets,5.0,N
58,Match 2 ,2010-03-13,Mumbai Indians,212,6,20.0,Rajasthan Royals,208,7,20.0,Mumbai Indians,Brabourne Stadium,Mumbai,YK Pathan,Mumbai Indians,bat,runs,4.0,N
59,Match 1 ,2010-03-12,Deccan Chargers,150,7,20.0,Kolkata Knight Riders,161,4,20.0,Kolkata Knight Riders,Dr DY Patil Sports Academy,Mumbai,AD Mathews,Deccan Chargers,field,runs,11.0,N
