,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 60 ,2010-04-25,Chennai Super Kings,168,5,20.0,Mumbai Indians,146,9,20.0,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai,SK Raina,Chennai Super Kings,bat,runs,22.0,N
1,Match 59 ,2010-04-24,Royal Challengers Bangalore,86,1,13.5,Deccan Chargers,82,0,18.3,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Mumbai,A Kumble,Deccan Chargers,bat,wickets,9.0,N
2,Match 58 ,2010-04-22,Chennai Super Kings,142,7,20.0,Deccan Chargers,104,0,19.2,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai,DE Bollinger,Chennai Super Kings,bat,runs,38.0,N
3,Match 57 ,2010-04-21,Royal Challengers Bangalore,149,9,20.0,Mumbai Indians,184,5,20.0,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,KA Pollard,Mumbai Indians,bat,runs,35.0,N
4,Match 56 ,2010-04-19,Kolkata Knight Riders,135,1,17.3,Mumbai Indians,133,8,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,M Kartik,Mumbai Indians,bat,wickets,9.0,N
5,Match 55 ,2010-04-18,Delhi Capitals,134,7,20.0,Deccan Chargers,145,7,20.0,Deccan Chargers,Feroz Shah Kotla,Delhi,A Symonds,Deccan Chargers,bat,runs,11.0,N
6,Match 54 ,2010-04-18,Punjab Kings,192,3,20.0,Chennai Super Kings,195,4,19.4,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,MS Dhoni,Chennai Super Kings,field,wickets,6.0,N
7,Match 53 ,2010-04-17,Kolkata Knight Riders,133,2,16.1,Rajasthan Royals,132,9,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,JD Unadkat,Rajasthan Royals,bat,wickets,8.0,N
8,Match 52 ,2010-04-17,Royal Challengers Bangalore,134,9,20.0,Mumbai Indians,191,4,20.0,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,R McLaren,Royal Challengers Bangalore,field,runs,57.0,N
9,Match 51 ,2010-04-16,Punjab Kings,174,3,20.0,Deccan Chargers,178,5,19.1,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Dharamsala,RG Sharma,Deccan Chargers,field,wickets,5.0,N
10,Match 50 ,2010-04-15,Chennai Super Kings,112,9,20.0,Delhi Capitals,113,4,18.4,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",Chennai,G Gambhir,Chennai Super Kings,bat,wickets,6.0,N
11,Match 49 ,2010-04-14,Rajasthan Royals,130,6,20.0,Royal Challengers Bangalore,132,5,15.4,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,KP Pietersen,Rajasthan Royals,bat,wickets,5.0,N
12,Final ,2010-04-13,Chennai Super Kings,143,1,13.3,Kolkata Knight Riders,139,8,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,R Ashwin,Kolkata Knight Riders,bat,wickets,9.0,N
13,Match 47 ,2010-04-13,Mumbai Indians,183,4,20.0,Delhi Capitals,144,7,20.0,Mumbai Indians,Brabourne Stadium,Mumbai,KA Pollard,Mumbai Indians,bat,runs,39.0,N
14,Match 46 ,2010-04-12,Deccan Chargers,151,6,20.0,Royal Challengers Bangalore,138,0,19.4,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Harmeet Singh,Royal Challengers Bangalore,field,runs,13.0,N
