,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
10,Match 49 ,2008-05-24,Chennai Super Kings,201,7,20.0,Rajasthan Royals,211,5,20.0,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,JA Morkel,Rajasthan Royals,bat,runs,10.0,N
11,Final ,2008-05-23,Punjab Kings,178,4,19.3,Deccan Chargers,175,4,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,SE Marsh,Kings XI Punjab,field,wickets,6.0,N
12,Match 46 ,2008-05-21,Chennai Super Kings,112,8,20.0,Royal Challengers Bangalore,126,8,20.0,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,A Kumble,Royal Challengers Bangalore,bat,runs,14.0,N
13,Match 45 ,2008-05-21,Mumbai Indians,188,0,20.0,Punjab Kings,189,4,20.0,Kings XI Punjab,Wankhede Stadium,Mumbai,SE Marsh,Mumbai Indians,field,runs,1.0,N
14,Match 44 ,2008-05-20,Kolkata Knight Riders,147,8,20.0,Rajasthan Royals,150,4,16.3,Rajasthan Royals,Eden Gardens,Kolkata,YK Pathan,Rajasthan Royals,field,wickets,6.0,N
15,Match 43 ,2008-05-19,Royal Challengers Bangalore,154,7,20.0,Delhi Capitals,158,5,18.2,Delhi Capitals,M Chinnaswamy Stadium,Bangalore,SP Goswami,Delhi Daredevils,field,wickets,5.0,N
16,Match 42 ,2008-05-18,Deccan Chargers,153,7,20.0,Mumbai Indians,178,7,20.0,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DJ Bravo,Deccan Chargers,field,runs,25.0,N
17,Match 41 ,2008-05-18,Kolkata Knight Riders,149,5,20.0,Chennai Super Kings,55,0,8.0,Chennai Super Kings,Eden Gardens,Kolkata,M Ntini,Kolkata Knight Riders,bat,runs,3.0,N
18,Match 40 ,2008-05-17,Delhi Capitals,118,4,11.0,Punjab Kings,94,3,8.0,Kings XI Punjab,Feroz Shah Kotla,Delhi,DPMD Jayawardene,Delhi Daredevils,bat,runs,6.0,N
19,Match 39 ,2008-05-17,Rajasthan Royals,197,1,20.0,Royal Challengers Bangalore,132,9,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,GC Smith,Royal Challengers Bangalore,field,runs,65.0,N
20,Match 38 ,2008-05-16,Mumbai Indians,68,2,5.3,Kolkata Knight Riders,67,0,15.2,Mumbai Indians,Wankhede Stadium,Mumbai,SM Pollock,Mumbai Indians,field,wickets,8.0,N
21,Match 37 ,2008-05-15,Delhi Capitals,194,4,20.0,Deccan Chargers,182,9,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,A Mishra,Deccan Chargers,field,runs,12.0,N
22,Match 36 ,2008-05-14,Mumbai Indians,158,1,13.5,Chennai Super Kings,156,6,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,ST Jayasuriya,Mumbai Indians,field,wickets,9.0,N
23,Match 35 ,2008-05-13,Kolkata Knight Riders,133,6,20.0,Delhi Capitals,110,0,17.5,Kolkata Knight Riders,Eden Gardens,Kolkata,Shoaib Akhtar,Kolkata Knight Riders,bat,runs,23.0,N
24,Match 34 ,2008-05-12,Punjab Kings,144,1,15.4,Royal Challengers Bangalore,143,8,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,SE Marsh,Royal Challengers Bangalore,bat,wickets,9.0,N
25,Match 33 ,2008-05-11,Rajasthan Royals,159,7,19.1,Delhi Capitals,156,7,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,SR Watson,Rajasthan Royals,field,wickets,3.0,N
26,Match 32 ,2008-05-11,Deccan Chargers,181,7,20.0,Kolkata Knight Riders,204,4,20.0,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SC Ganguly,Kolkata Knight Riders,bat,runs,23.0,N
27,Match 31 ,2008-05-10,Chennai Super Kings,181,4,20.0,Punjab Kings,163,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,L Balaji,Kings XI Punjab,field,runs,18.0,N
28,Match 30 ,2008-05-09,Rajasthan Royals,141,2,16.0,Deccan Chargers,140,8,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,YK Pathan,Rajasthan Royals,field,wickets,8.0,N
29,Match 29 ,2008-05-08,Kolkata Knight Riders,129,7,16.0,Royal Challengers Bangalore,124,4,16.0,Kolkata Knight Riders,Eden Gardens,Kolkata,SC Ganguly,Kolkata Knight Riders,bat,runs,5.0,N
30,Match 28 ,2008-05-08,Delhi Capitals,187,5,20.0,Chennai Super Kings,188,6,20.0,Chennai Super Kings,Feroz Shah Kotla,Delhi,MS Dhoni,Chennai Super Kings,field,wickets,4.0,N
31,Match 27 ,2008-05-07,Mumbai Indians,104,3,15.1,Rajasthan Royals,103,0,16.2,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,A Nehra,Mumbai Indians,field,wickets,7.0,N
32,Match 26 ,2008-05-06,Chennai Super Kings,144,7,20.0,Deccan Chargers,148,3,18.0,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,AC Gilchrist,Deccan Chargers,field,wickets,7.0,N
33,Match 25 ,2008-05-05,Royal Challengers Bangalore,126,0,19.2,Punjab Kings,127,4,18.2,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,S Sreesanth,Kings XI Punjab,field,wickets,6.0,N
34,Match 24 ,2008-05-04,Rajasthan Royals,110,2,14.2,Chennai Super Kings,109,0,19.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Sohail Tanvir,Chennai Super Kings,bat,wickets,8.0,N
35,Match 23 ,2008-05-04,Mumbai Indians,162,8,20.0,Delhi Capitals,133,0,18.5,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,SM Pollock,Delhi Daredevils,field,runs,29.0,N
36,Match 22 ,2008-05-03,Punjab Kings,178,6,20.0,Kolkata Knight Riders,169,6,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,IK Pathan,Kings XI Punjab,bat,runs,9.0,N
37,Match 21 ,2008-05-03,Royal Challengers Bangalore,156,8,20.0,Deccan Chargers,153,6,20.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,P Kumar,Deccan Chargers,field,runs,3.0,N
38,Match 20 ,2008-05-02,Chennai Super Kings,169,6,20.0,Delhi Capitals,172,2,19.0,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",Chennai,V Sehwag,Chennai Super Kings,bat,wickets,8.0,N
39,Match 19 ,2008-05-01,Deccan Chargers,164,8,20.0,Punjab Kings,167,3,18.5,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SE Marsh,Kings XI Punjab,field,wickets,7.0,N
40,Match 18 ,2008-05-01,Rajasthan Royals,196,7,20.0,Kolkata Knight Riders,151,0,19.1,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,SA Asnodkar,Rajasthan Royals,bat,runs,45.0,N
41,Match 17 ,2008-04-30,Delhi Capitals,191,5,20.0,Royal Challengers Bangalore,181,5,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,GD McGrath,Royal Challengers Bangalore,field,runs,10.0,N
42,Match 16 ,2008-04-29,Kolkata Knight Riders,137,8,20.0,Mumbai Indians,138,3,18.4,Mumbai Indians,Eden Gardens,Kolkata,ST Jayasuriya,Kolkata Knight Riders,bat,wickets,7.0,N
43,Match 15 ,2008-04-28,Royal Challengers Bangalore,165,0,19.4,Chennai Super Kings,178,5,20.0,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,MS Dhoni,Chennai Super Kings,bat,runs,13.0,N
44,Match 14 ,2008-04-27,Mumbai Indians,154,7,20.0,Deccan Chargers,155,0,12.0,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,AC Gilchrist,Deccan Chargers,field,wickets,10.0,N
45,Match 13 ,2008-04-27,Punjab Kings,162,6,19.3,Delhi Capitals,158,8,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,SM Katich,Delhi Daredevils,bat,wickets,4.0,N
46,Match 12 ,2008-04-26,Royal Challengers Bangalore,135,8,20.0,Rajasthan Royals,138,3,17.1,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,SR Watson,Rajasthan Royals,field,wickets,7.0,N
47,Match 11 ,2008-04-26,Chennai Super Kings,152,1,17.0,Kolkata Knight Riders,147,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,JDP Oram,Kolkata Knight Riders,bat,wickets,9.0,N
48,Match 10 ,2008-04-25,Punjab Kings,182,0,20.0,Mumbai Indians,116,9,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KC Sangakkara,Mumbai Indians,field,runs,66.0,N
49,Match 9 ,2008-04-24,Deccan Chargers,214,5,20.0,Rajasthan Royals,217,7,19.5,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,YK Pathan,Rajasthan Royals,field,wickets,3.0,N
50,Match 8 ,2008-04-23,Chennai Super Kings,208,5,20.0,Mumbai Indians,202,7,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,ML Hayden,Mumbai Indians,field,runs,6.0,N
51,Match 7 ,2008-04-22,Deccan Chargers,142,8,20.0,Delhi Capitals,143,1,13.0,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,V Sehwag,Deccan Chargers,bat,wickets,9.0,N
52,Match 6 ,2008-04-21,Rajasthan Royals,168,4,18.1,Punjab Kings,166,8,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,SR Watson,Kings XI Punjab,bat,wickets,6.0,N
53,Match 5 ,2008-04-20,Mumbai Indians,165,6,20.0,Royal Challengers Bangalore,166,5,19.4,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,MV Boucher,Mumbai Indians,bat,wickets,5.0,N
54,Match 4 ,2008-04-20,Kolkata Knight Riders,112,5,19.0,Deccan Chargers,110,0,18.4,Kolkata Knight Riders,Eden Gardens,Kolkata,DJ Hussey,Deccan Chargers,bat,wickets,5.0,N
55,Match 3 ,2008-04-19,Delhi Capitals,132,1,15.1,Rajasthan Royals,129,8,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,MF Maharoof,Rajasthan Royals,bat,wickets,9.0,N
56,Match 2 ,2008-04-19,Punjab Kings,207,4,20.0,Chennai Super Kings,240,5,20.0,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,MEK Hussey,Chennai Super Kings,bat,runs,33.0,N
57,Match 1 ,2008-04-18,Royal Challengers Bangalore,82,0,15.1,Kolkata Knight Riders,222,3,20.0,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,BB McCullum,Royal Challengers Bangalore,field,runs,140.0,N
