,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 59 ,2008-06-01,Chennai Super Kings,163,5,20.0,Rajasthan Royals,164,7,20.0,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,YK Pathan,Rajasthan Royals,field,wickets,3.0,N
1,Match 58 ,2008-05-31,Chennai Super Kings,116,1,14.5,Punjab Kings,112,8,20.0,Chennai Super Kings,Wankhede Stadium,Mumbai,M Ntini,Kings XI Punjab,bat,wickets,9.0,N
2,Match 57 ,2008-05-30,Delhi Capitals,87,0,16.1,Rajasthan Royals,192,9,20.0,Rajasthan Royals,Wankhede Stadium,Mumbai,SR Watson,Delhi Daredevils,field,runs,105.0,N
3,Match 56 ,2008-05-28,Punjab Kings,221,3,20.0,Rajasthan Royals,180,7,20.0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,SE Marsh,Rajasthan Royals,field,runs,41.0,N
4,Match 55 ,2008-05-28,Royal Challengers Bangalore,122,9,18.0,Mumbai Indians,126,1,16.0,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,CRD Fernando,Mumbai Indians,field,wickets,9.0,N
5,Match 54 ,2008-05-27,Deccan Chargers,147,8,20.0,Chennai Super Kings,148,3,19.2,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SK Raina,Deccan Chargers,bat,wickets,7.0,N
6,Match 53 ,2008-05-26,Rajasthan Royals,146,5,20.0,Mumbai Indians,145,7,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Sohail Tanvir,Rajasthan Royals,field,wickets,5.0,N
7,Match 52 ,2008-05-25,Kolkata Knight Riders,175,7,19.4,Punjab Kings,174,6,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,Umar Gul,Kings XI Punjab,bat,wickets,3.0,N
8,Match 51 ,2008-05-25,Deccan Chargers,165,0,20.0,Royal Challengers Bangalore,171,5,19.0,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,R Vinay Kumar,Deccan Chargers,bat,wickets,5.0,N
9,Match 50 ,2008-05-24,Delhi Capitals,179,5,19.5,Mumbai Indians,180,8,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,KD Karthik,Delhi Daredevils,field,wickets,5.0,N
