,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 60 ,2017-05-21,Rising Pune Supergiant,128,6,20.0,Mumbai Indians,129,8,20.0,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,KH Pandya,Mumbai Indians,bat,runs,1.0,N
1,Match 59 ,2017-05-19,Mumbai Indians,111,4,14.3,Kolkata Knight Riders,107,0,18.5,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,KV Sharma,Mumbai Indians,field,wickets,6.0,N
2,Match 58 ,2017-05-17,Sunrisers Hyderabad,128,7,20.0,Kolkata Knight Riders,48,3,5.2,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,NM Coulter-Nile,Kolkata Knight Riders,field,wickets,7.0,N
3,Match 57 ,2017-05-16,Mumbai Indians,142,9,20.0,Rising Pune Supergiant,162,4,20.0,Rising Pune Supergiant,Wankhede Stadium,Mumbai,Washington Sundar,Mumbai Indians,field,runs,20.0,N
4,Match 56 ,2017-05-14,Delhi Capitals,151,0,20.0,Royal Challengers Bangalore,161,6,20.0,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,HV Patel,Royal Challengers Bangalore,bat,runs,10.0,N
5,Match 55 ,2017-05-14,Rising Pune Supergiant,78,1,12.0,Punjab Kings,73,0,15.5,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,JD Unadkat,Rising Pune Supergiant,field,wickets,9.0,N
6,Match 54 ,2017-05-13,Kolkata Knight Riders,164,8,20.0,Mumbai Indians,173,5,20.0,Mumbai Indians,Eden Gardens,Kolkata,AT Rayudu,Kolkata Knight Riders,field,runs,9.0,N
7,Match 53 ,2017-05-13,Gujarat Lions,154,0,19.2,Sunrisers Hyderabad,158,2,18.1,Sunrisers Hyderabad,Green Park,Kanpur,Mohammed Siraj,Sunrisers Hyderabad,field,wickets,8.0,N
8,Match 52 ,2017-05-12,Delhi Capitals,168,8,20.0,Rising Pune Supergiant,161,7,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,KK Nair,Delhi Daredevils,bat,runs,7.0,N
9,Match 51 ,2017-05-11,Mumbai Indians,223,6,20.0,Punjab Kings,230,3,20.0,Kings XI Punjab,Wankhede Stadium,Mumbai,WP Saha,Mumbai Indians,field,runs,7.0,N
10,Match 50 ,2017-05-10,Gujarat Lions,195,5,20.0,Delhi Capitals,197,8,19.4,Delhi Capitals,Green Park,Kanpur,SS Iyer,Delhi Daredevils,field,wickets,2.0,N
