,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
11,Match 49 ,2017-05-09,Punjab Kings,167,6,20.0,Kolkata Knight Riders,153,6,20.0,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,MM Sharma,Kolkata Knight Riders,field,runs,14.0,N
12,Final ,2017-05-08,Sunrisers Hyderabad,140,3,18.2,Mumbai Indians,138,7,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,S Dhawan,Mumbai Indians,bat,wickets,7.0,N
13,Match 47 ,2017-05-07,Punjab Kings,189,3,20.0,Gujarat Lions,192,4,19.4,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,DR Smith,Gujarat Lions,field,wickets,6.0,N
14,Match 46 ,2017-05-07,Royal Challengers Bangalore,158,6,20.0,Kolkata Knight Riders,159,4,15.1,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,SP Narine,Kolkata Knight Riders,field,wickets,6.0,N
15,Match 45 ,2017-05-06,Delhi Capitals,66,0,13.4,Mumbai Indians,212,3,20.0,Mumbai Indians,Feroz Shah Kotla,Delhi,LMP Simmons,Delhi Daredevils,field,runs,146.0,N
16,Match 44 ,2017-05-06,Sunrisers Hyderabad,136,9,20.0,Rising Pune Supergiant,148,8,20.0,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,JD Unadkat,Sunrisers Hyderabad,field,runs,12.0,N
17,Match 43 ,2017-05-05,Royal Challengers Bangalore,119,0,19.0,Punjab Kings,138,7,20.0,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Sandeep Sharma,Royal Challengers Bangalore,field,runs,19.0,N
18,Match 42 ,2017-05-04,Delhi Capitals,214,3,17.3,Gujarat Lions,208,7,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,RR Pant,Delhi Daredevils,field,wickets,7.0,N
19,Match 41 ,2017-05-03,Kolkata Knight Riders,155,8,20.0,Rising Pune Supergiant,158,6,19.2,Rising Pune Supergiant,Eden Gardens,Kolkata,RA Tripathi,Rising Pune Supergiant,field,wickets,4.0,N
20,Match 40 ,2017-05-02,Delhi Capitals,189,4,19.1,Sunrisers Hyderabad,185,3,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,Mohammed Shami,Delhi Daredevils,field,wickets,6.0,N
21,Match 39 ,2017-05-01,Rising Pune Supergiant,167,5,19.5,Gujarat Lions,161,0,19.5,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,BA Stokes,Rising Pune Supergiant,field,wickets,5.0,N
22,Match 38 ,2017-05-01,Mumbai Indians,165,5,19.5,Royal Challengers Bangalore,162,8,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,RG Sharma,Royal Challengers Bangalore,bat,wickets,5.0,N
23,Match 37 ,2017-04-30,Sunrisers Hyderabad,209,3,20.0,Kolkata Knight Riders,161,7,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DA Warner,Kolkata Knight Riders,field,runs,48.0,N
24,Match 36 ,2017-04-30,Punjab Kings,68,0,7.5,Delhi Capitals,67,0,17.1,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Sandeep Sharma,Kings XI Punjab,field,wickets,10.0,N
25,Match 35 ,2017-04-29,Gujarat Lions,153,9,20.0,Mumbai Indians,153,0,20.0,Mumbai Indians,Saurashtra Cricket Association Stadium,Rajkot,KH Pandya,Gujarat Lions,bat,tie,,Y
26,Match 34 ,2017-04-29,Rising Pune Supergiant,157,3,20.0,Royal Challengers Bangalore,96,9,20.0,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,LH Ferguson,Royal Challengers Bangalore,field,runs,61.0,N
27,Match 33 ,2017-04-28,Punjab Kings,181,9,20.0,Sunrisers Hyderabad,207,3,20.0,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Rashid Khan,Kings XI Punjab,field,runs,26.0,N
28,Match 32 ,2017-04-28,Kolkata Knight Riders,161,3,16.2,Delhi Capitals,160,6,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,G Gambhir,Kolkata Knight Riders,field,wickets,7.0,N
29,Match 31 ,2017-04-27,Royal Challengers Bangalore,134,0,20.0,Gujarat Lions,135,3,13.5,Gujarat Lions,M Chinnaswamy Stadium,Bangalore,AJ Tye,Gujarat Lions,field,wickets,7.0,N
30,Match 30 ,2017-04-26,Rising Pune Supergiant,182,5,20.0,Kolkata Knight Riders,184,3,18.1,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,RV Uthappa,Kolkata Knight Riders,field,wickets,7.0,N
31,Match 28 ,2017-04-24,Mumbai Indians,4,0,19.3,Rising Pune Supergiant,131,0,9.4,Rising Pune Supergiant,Wankhede Stadium,Mumbai,BA Stokes,Mumbai Indians,field,runs,3.0,N
32,Match 27 ,2017-04-23,Kolkata Knight Riders,188,0,20.0,Royal Challengers Bangalore,162,7,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,NM Coulter-Nile,Royal Challengers Bangalore,field,runs,82.0,N
33,Match 26 ,2017-04-23,Gujarat Lions,128,0,20.0,Punjab Kings,142,8,20.0,Kings XI Punjab,Saurashtra Cricket Association Stadium,Rajkot,HM Amla,Gujarat Lions,field,runs,26.0,N
34,Match 25 ,2017-04-22,Mumbai Indians,176,0,20.0,Delhi Capitals,179,4,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,MJ McClenaghan,Delhi Daredevils,field,runs,14.0,N
35,Match 24 ,2017-04-22,Rising Pune Supergiant,188,0,20.0,Sunrisers Hyderabad,187,5,18.2,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,MS Dhoni,Rising Pune Supergiant,field,wickets,6.0,N
36,Match 23 ,2017-04-21,Kolkata Knight Riders,199,0,20.0,Gujarat Lions,198,4,15.3,Gujarat Lions,Eden Gardens,Kolkata,SK Raina,Gujarat Lions,field,wickets,4.0,N
37,Match 22 ,2017-04-20,Punjab Kings,176,0,20.0,Mumbai Indians,191,4,20.0,Mumbai Indians,Holkar Cricket Stadium,Indore,JC Buttler,Mumbai Indians,field,wickets,8.0,N
38,Match 21 ,2017-04-19,Sunrisers Hyderabad,213,0,20.0,Delhi Capitals,192,7,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,KS Williamson,Sunrisers Hyderabad,bat,runs,15.0,N
39,Match 20 ,2017-04-18,Gujarat Lions,15,0,20.0,Royal Challengers Bangalore,159,6,19.4,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,CH Gayle,Gujarat Lions,field,runs,21.0,N
40,Match 19 ,2017-04-17,Sunrisers Hyderabad,169,0,20.0,Punjab Kings,168,7,19.5,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,B Kumar,Kings XI Punjab,field,runs,5.0,N
41,Match 18 ,2017-04-17,Delhi Capitals,161,0,20.0,Kolkata Knight Riders,134,9,20.0,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,NM Coulter-Nile,Delhi Daredevils,bat,wickets,4.0,N
42,Match 17 ,2017-04-16,Royal Challengers Bangalore,176,0,19.3,Rising Pune Supergiant,177,4,20.0,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,BA Stokes,Royal Challengers Bangalore,field,runs,27.0,N
43,Match 16 ,2017-04-16,Mumbai Indians,137,0,20.0,Gujarat Lions,188,6,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,N Rana,Mumbai Indians,field,wickets,6.0,N
44,Match 15 ,2017-04-15,Delhi Capitals,155,0,20.0,Punjab Kings,172,6,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,CJ Anderson,Delhi Daredevils,bat,runs,51.0,N
45,Match 14 ,2017-04-15,Kolkata Knight Riders,171,0,18.0,Sunrisers Hyderabad,172,3,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,RV Uthappa,Sunrisers Hyderabad,field,runs,17.0,N
46,Match 13 ,2017-04-14,Gujarat Lions,145,0,20.0,Rising Pune Supergiant,142,5,18.5,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,AJ Tye,Gujarat Lions,field,wickets,7.0,N
47,Match 12 ,2017-04-14,Royal Challengers Bangalore,170,0,16.3,Mumbai Indians,171,2,20.0,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,KA Pollard,Mumbai Indians,field,wickets,4.0,N
48,Match 11 ,2017-04-13,Kolkata Knight Riders,158,0,18.4,Punjab Kings,159,6,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,SP Narine,Kolkata Knight Riders,field,wickets,8.0,N
49,Match 10 ,2017-04-12,Mumbai Indians,205,0,16.1,Sunrisers Hyderabad,108,0,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,JJ Bumrah,Mumbai Indians,field,wickets,4.0,N
50,Match 9 ,2017-04-11,Rising Pune Supergiant,148,0,14.3,Delhi Capitals,150,2,20.0,Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,SV Samson,Rising Pune Supergiant,field,runs,97.0,N
51,Match 8 ,2017-04-10,Punjab Kings,178,0,19.5,Royal Challengers Bangalore,180,6,20.0,Kings XI Punjab,Holkar Cricket Stadium,Indore,AR Patel,Royal Challengers Bangalore,bat,wickets,8.0,N
52,Match 7 ,2017-04-09,Mumbai Indians,135,0,15.3,Kolkata Knight Riders,140,1,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,N Rana,Mumbai Indians,field,wickets,4.0,N
53,Match 6 ,2017-04-09,Sunrisers Hyderabad,142,0,20.0,Gujarat Lions,157,8,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rashid Khan,Sunrisers Hyderabad,field,wickets,9.0,N
54,Match 5 ,2017-04-08,Royal Challengers Bangalore,163,0,19.0,Delhi Capitals,164,4,20.0,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,KM Jadhav,Royal Challengers Bangalore,bat,runs,15.0,N
55,Match 4 ,2017-04-08,Punjab Kings,184,0,20.0,Rising Pune Supergiant,183,4,14.5,Kings XI Punjab,Holkar Cricket Stadium,Indore,GJ Maxwell,Kings XI Punjab,field,wickets,6.0,N
56,Match 3 ,2017-04-07,Gujarat Lions,184,0,19.5,Kolkata Knight Riders,187,3,20.0,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,CA Lynn,Kolkata Knight Riders,field,wickets,10.0,N
57,Match 2 ,2017-04-06,Rising Pune Supergiant,17,0,20.0,Mumbai Indians,207,4,19.4,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,SPD Smith,Rising Pune Supergiant,field,wickets,7.0,N
58,Match 1 ,2017-04-05,Sunrisers Hyderabad,0,0,0.0,Royal Challengers Bangalore,0,0,0.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Yuvraj Singh,Royal Challengers Bangalore,field,runs,35.0,N
