,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 60 ,2016-05-29,Royal Challengers Bangalore,200,7,20.0,Sunrisers Hyderabad,208,7,20.0,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,BCJ Cutting,Sunrisers Hyderabad,bat,runs,8.0,N
1,Match 59 ,2016-05-27,Gujarat Lions,162,7,20.0,Sunrisers Hyderabad,163,6,19.2,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,DA Warner,Sunrisers Hyderabad,field,wickets,4.0,N
2,Match 58 ,2016-05-25,Sunrisers Hyderabad,162,8,20.0,Kolkata Knight Riders,140,8,20.0,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,MC Henriques,Kolkata Knight Riders,field,runs,22.0,N
3,Match 57 ,2016-05-24,Gujarat Lions,158,0,20.0,Royal Challengers Bangalore,159,6,18.2,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,AB de Villiers,Royal Challengers Bangalore,field,wickets,4.0,N
4,Match 56 ,2016-05-22,Delhi Capitals,138,8,20.0,Royal Challengers Bangalore,139,4,18.1,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Raipur,V Kohli,Royal Challengers Bangalore,field,wickets,6.0,N
5,Match 55 ,2016-05-22,Kolkata Knight Riders,171,6,20.0,Sunrisers Hyderabad,149,8,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,YK Pathan,Sunrisers Hyderabad,field,runs,22.0,N
6,Match 54 ,2016-05-21,Gujarat Lions,173,4,17.5,Mumbai Indians,172,8,20.0,Gujarat Lions,Green Park,Kanpur,SK Raina,Gujarat Lions,field,wickets,6.0,N
7,Match 53 ,2016-05-21,Rising Pune Supergiant,173,6,20.0,Punjab Kings,172,7,20.0,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,MS Dhoni,Kings XI Punjab,bat,wickets,4.0,N
8,Match 52 ,2016-05-20,Delhi Capitals,161,4,20.0,Sunrisers Hyderabad,158,7,20.0,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,Raipur,KK Nair,Delhi Daredevils,field,wickets,6.0,N
9,Match 51 ,2016-05-19,Gujarat Lions,125,4,13.3,Kolkata Knight Riders,124,8,20.0,Gujarat Lions,Green Park,Kanpur,DR Smith,Gujarat Lions,field,wickets,6.0,N
10,Match 50 ,2016-05-18,Royal Challengers Bangalore,211,3,15.0,Punjab Kings,120,9,14.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,V Kohli,Kings XI Punjab,field,runs,82.0,N
11,Match 49 ,2016-05-17,Rising Pune Supergiant,76,1,11.0,Delhi Capitals,121,6,20.0,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,AB Dinda,Rising Pune Supergiants,field,runs,19.0,N
12,Final ,2016-05-16,Kolkata Knight Riders,183,5,20.0,Royal Challengers Bangalore,186,1,18.4,Royal Challengers Bangalore,Eden Gardens,Kolkata,V Kohli,Royal Challengers Bangalore,field,wickets,9.0,N
